Row,Column,Droplet
0,17,10
0,18,5
0,19,4
0,20,10
0,21,5
0,22,4
1,22,7
1,21,6
1,20,7
1,19,7
1,18,6
1,17,7
2,17,5
2,18,8
2,19,6
2,20,5
2,21,8
2,22,6
3,22,9
3,21,8
3,20,5
3,19,9
3,18,8
3,17,5
4,17,4
4,18,10
4,19,3
4,20,4
4,21,10
4,22,3
5,22,7
5,21,5
5,20,3
5,19,7
5,18,5
5,17,3
6,17,11
6,18,9
6,19,11
6,20,11
6,21,9
6,22,11
7,22,9
7,21,7
7,20,9
7,19,9
7,18,7
7,17,9
8,17,7
8,18,7
8,19,6
8,20,7
8,21,7
8,22,6
9,22,3
9,21,7
9,20,7
9,19,3
9,18,7
9,17,7
10,17,11
10,18,8
10,19,8
10,20,11
10,21,8
10,22,8
11,22,5
11,21,8
11,20,5
11,19,5
11,18,8
11,17,5
12,17,6
12,18,6
12,19,8
12,20,6
12,21,6
12,22,8
13,21,10
13,20,4
13,18,10
13,17,4
14,17,9
14,18,7
14,20,9
14,21,7
15,21,6
15,20,9
15,18,6
15,17,9
