Row,Column,Droplet
0,1,2
0,3,2
0,6,2
0,8,2
0,9,2
1,11,2
1,5,2
1,1,2
1,0,2
2,1,2
2,3,2
2,4,2
2,6,2
2,9,2
2,10,2
2,11,2
3,11,2
3,8,2
3,3,2
3,2,2
3,1,2
3,0,2
4,1,2
4,3,2
4,4,2
5,10,2
5,5,2
5,4,2
5,2,2
5,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,2
7,5,2
7,4,2
8,2,2
8,3,2
8,4,2
8,5,2
8,6,2
8,7,2
8,9,2
9,10,2
9,9,2
9,8,2
9,3,2
9,1,2
9,0,2
10,0,2
10,1,2
10,5,2
10,7,2
10,8,2
10,9,2
11,10,2
11,9,2
11,6,2
11,5,2
11,1,2
12,2,2
12,4,2
12,8,2
12,9,2
12,10,2
13,5,2
13,4,2
13,3,2
13,2,2
13,0,2
14,0,2
14,1,2
14,3,2
14,4,2
14,5,2
14,8,2
14,10,2
15,10,2
15,9,2
15,8,2
15,6,2
15,5,2
15,4,2
15,3,2
15,2,2
15,1,2
