well_name,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecY,combo
A13,gCM169,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
A14,Blank,0.0,135.0,DOPC,3.0,10.0,2.5,experiment
A15,gCM183,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
A16,gCM183,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
A17,Blank,0.0,110.0,DOPC,3.0,10.0,0.0,experiment
A18,gCM183,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
A19,gCM183,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
A20,gCM183,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
A21,gCM185,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
A22,Blank,0.0,135.0,no_lipo,0.0,10.0,2.5,experiment
A23,gCM185,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
A24,Blank,0.0,135.0,no_lipo,0.0,10.0,0.0,experiment
B13,gCM185,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
B14,Blank,0.0,85.0,DOPC,3.0,10.0,2.5,experiment
B15,gCM169,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
B16,gCM185,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
B17,gCM183,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
B18,Blank,0.0,110.0,DOPC,3.0,10.0,2.5,experiment
B19,Blank,0.0,135.0,DOPC,3.0,10.0,0.0,experiment
B20,gCM185,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
B21,AqpZ,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
B22,gCM183,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
B23,Blank,0.0,135.0,DOPC,3.0,10.0,0.0,experiment
B24,AqpZ,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
C13,Blank,0.0,85.0,no_lipo,0.0,10.0,0.0,experiment
C14,AqpZ,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
C15,gCM183,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
C16,gCM183,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
C17,gCM185,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
C18,AqpZ,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
C19,gCM183,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
C20,AqpZ,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
C21,gCM185,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
C22,gCM185,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
C23,gCM169,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
C24,gCM185,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
D13,gCM169,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
D14,gCM183,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
D15,AqpZ,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
D16,gCM169,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
D17,gCM185,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
D18,gCM183,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
D19,gCM185,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
D20,gCM185,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
D21,Blank,0.0,85.0,DOPC,3.0,10.0,2.5,experiment
D22,AqpZ,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
D23,gCM183,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
D24,AqpZ,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
E13,gCM185,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
E14,gCM185,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
E15,AqpZ,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
E16,Blank,0.0,135.0,DOPC,3.0,10.0,2.5,experiment
E17,gCM169,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
E18,gCM185,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
E19,gCM185,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
E20,gCM169,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
E21,gCM183,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
E22,gCM185,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
E23,AqpZ,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
F13,gCM169,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
F14,AqpZ,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
F15,Blank,0.0,110.0,DOPC,3.0,10.0,2.5,experiment
F16,gCM183,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
F17,gCM183,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
F18,AqpZ,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
F19,gCM185,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
F20,Blank,0.0,110.0,DOPC,3.0,10.0,0.0,experiment
F21,gCM169,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
F22,gCM169,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
F23,gCM183,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
G13,Blank,0.0,110.0,no_lipo,0.0,10.0,0.0,experiment
G14,gCM169,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
G15,gCM185,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
G16,gCM183,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
G17,gCM183,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
G18,AqpZ,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
G19,gCM185,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
G20,gCM183,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
G21,gCM183,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
G22,gCM183,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
G23,gCM183,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
H13,AqpZ,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
H14,Blank,0.0,85.0,DOPC,3.0,10.0,0.0,experiment
H15,Blank,0.0,85.0,DOPC,3.0,10.0,0.0,experiment
H16,gCM169,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
H17,gCM185,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
H18,AqpZ,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
H19,AqpZ,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
H20,gCM185,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
H21,gCM169,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
H22,gCM169,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
H23,Blank,0.0,135.0,no_lipo,0.0,10.0,0.0,experiment
I13,gCM169,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
I14,Blank,0.0,135.0,no_lipo,0.0,10.0,0.0,experiment
I15,Blank,0.0,110.0,no_lipo,0.0,10.0,2.5,experiment
I16,gCM169,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
I17,Blank,0.0,135.0,no_lipo,0.0,10.0,2.5,experiment
I18,gCM169,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
I19,AqpZ,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
I20,gCM185,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
I21,gCM169,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
I22,AqpZ,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
I23,AqpZ,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
J13,gCM169,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
J14,Blank,0.0,85.0,no_lipo,0.0,10.0,2.5,experiment
J15,AqpZ,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
J16,AqpZ,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
J17,AqpZ,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
J18,gCM169,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
J19,AqpZ,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
J20,AqpZ,5.0,135.0,no_lipo,0.0,10.0,0.0,experiment
J21,gCM183,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
J22,gCM169,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
J23,gCM169,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
K13,Blank,0.0,110.0,no_lipo,0.0,10.0,2.5,experiment
K14,gCM183,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
K15,Blank,0.0,85.0,DOPC,3.0,10.0,0.0,experiment
K16,Blank,0.0,135.0,DOPC,3.0,10.0,0.0,experiment
K17,gCM183,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
K18,Blank,0.0,110.0,no_lipo,0.0,10.0,2.5,experiment
K19,gCM185,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
K20,AqpZ,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
K21,gCM169,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
K22,gCM185,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
K23,AqpZ,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
L13,AqpZ,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
L14,gCM183,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
L15,gCM183,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
L16,gCM185,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
L17,Blank,0.0,110.0,no_lipo,0.0,10.0,0.0,experiment
L18,gCM169,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
L19,gCM185,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
L20,Blank,0.0,85.0,no_lipo,0.0,10.0,0.0,experiment
L21,AqpZ,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
L22,gCM169,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
L23,gCM169,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
M13,gCM183,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
M14,gCM169,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
M15,AqpZ,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
M16,AqpZ,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
M17,AqpZ,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
M18,gCM183,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
M19,AqpZ,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
M20,gCM185,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
M21,AqpZ,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
M22,AqpZ,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
M23,gCM169,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
N13,Blank,0.0,85.0,DOPC,3.0,10.0,2.5,experiment
N14,Blank,0.0,85.0,no_lipo,0.0,10.0,0.0,experiment
N15,gCM183,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
N16,gCM169,5.0,110.0,DOPC,3.0,10.0,2.5,experiment
N17,Blank,0.0,135.0,no_lipo,0.0,10.0,2.5,experiment
N18,gCM185,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
N19,gCM169,5.0,85.0,DOPC,3.0,10.0,0.0,experiment
N20,gCM183,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
N21,Blank,0.0,110.0,no_lipo,0.0,10.0,0.0,experiment
N22,Blank,0.0,110.0,DOPC,3.0,10.0,0.0,experiment
N23,gCM169,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
O13,Blank,0.0,135.0,DOPC,3.0,10.0,2.5,experiment
O14,gCM169,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
O15,gCM169,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
O16,gCM185,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
O17,gCM169,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
O18,Blank,0.0,85.0,no_lipo,0.0,10.0,2.5,experiment
O19,gCM169,5.0,85.0,no_lipo,0.0,10.0,0.0,experiment
O20,gCM183,5.0,110.0,no_lipo,0.0,10.0,0.0,experiment
O21,Blank,0.0,85.0,no_lipo,0.0,10.0,2.5,experiment
O22,gCM185,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
O23,gCM185,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
P13,gCM183,5.0,135.0,DOPC,3.0,10.0,0.0,experiment
P14,gCM183,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
P15,Blank,0.0,110.0,DOPC,3.0,10.0,2.5,experiment
P16,gCM185,5.0,110.0,no_lipo,0.0,10.0,2.5,experiment
P17,AqpZ,5.0,135.0,no_lipo,0.0,10.0,2.5,experiment
P18,gCM183,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
P19,gCM185,5.0,85.0,no_lipo,0.0,10.0,2.5,experiment
P20,gCM185,5.0,110.0,DOPC,3.0,10.0,0.0,experiment
P21,AqpZ,5.0,135.0,DOPC,3.0,10.0,2.5,experiment
P22,gCM185,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
P23,gCM169,5.0,85.0,DOPC,3.0,10.0,2.5,experiment
