Row,Column,Droplet
0,1,2
0,4,2
0,9,2
0,11,2
0,13,2
0,16,2
0,21,2
0,23,2
1,22,2
1,18,2
1,17,2
1,13,2
1,10,2
1,6,2
1,5,2
1,1,2
2,0,2
2,12,2
3,20,2
3,8,2
4,3,2
4,15,2
5,19,2
5,14,2
5,7,2
5,2,2
6,0,2
6,12,2
7,22,2
7,14,2
7,13,2
7,10,2
7,2,2
7,1,2
8,1,2
8,2,2
8,4,2
8,13,2
8,14,2
8,16,2
9,13,2
9,1,2
10,0,2
10,2,2
10,3,2
10,5,2
10,12,2
10,14,2
10,15,2
10,17,2
11,19,2
11,16,2
11,7,2
11,4,2
13,21,2
13,20,2
13,16,2
13,13,2
13,12,2
13,9,2
13,8,2
13,4,2
13,1,2
13,0,2
14,0,2
14,5,2
14,8,2
14,12,2
14,17,2
14,20,2
15,14,2
15,2,2
