Row,Column,Droplet
0,0,4
0,6,4
0,9,4
0,10,4
0,11,4
0,12,4
0,18,4
0,21,4
0,22,4
0,23,4
1,23,4
1,20,4
1,17,4
1,15,4
1,13,4
1,12,4
1,11,4
1,8,4
1,5,4
1,3,4
1,1,4
1,0,4
2,3,4
2,4,4
2,7,4
2,8,4
2,9,4
2,11,4
2,15,4
2,16,4
2,19,4
2,20,4
2,21,4
2,23,4
3,23,4
3,22,4
3,20,4
3,19,4
3,18,4
3,17,4
3,15,4
3,13,4
3,12,4
3,11,4
3,10,4
3,8,4
3,7,4
3,6,4
3,5,4
3,3,4
3,1,4
3,0,4
4,8,4
4,10,4
4,20,4
4,22,4
5,17,4
5,16,4
5,15,4
5,14,4
5,5,4
5,4,4
5,3,4
5,2,4
6,1,4
6,4,4
6,5,4
6,6,4
6,7,4
6,9,4
6,13,4
6,16,4
6,17,4
6,18,4
6,19,4
6,21,4
7,22,4
7,19,4
7,17,4
7,14,4
7,13,4
7,12,4
7,10,4
7,7,4
7,5,4
7,2,4
7,1,4
7,0,4
8,1,4
8,3,4
8,4,4
8,6,4
8,7,4
8,8,4
8,13,4
8,15,4
8,16,4
8,18,4
8,19,4
8,20,4
9,21,4
9,20,4
9,19,4
9,18,4
9,15,4
9,13,4
9,9,4
9,8,4
9,7,4
9,6,4
9,3,4
9,1,4
10,1,4
10,2,4
10,6,4
10,7,4
10,8,4
10,9,4
10,13,4
10,14,4
10,18,4
10,19,4
10,20,4
10,21,4
11,15,4
11,3,4
12,1,4
12,2,4
12,5,4
12,7,4
12,8,4
12,9,4
12,10,4
12,13,4
12,14,4
12,17,4
12,19,4
12,20,4
12,21,4
12,22,4
13,22,4
13,18,4
13,16,4
13,14,4
13,12,4
13,10,4
13,6,4
13,4,4
13,2,4
13,0,4
14,1,4
14,3,4
14,4,4
14,5,4
14,7,4
14,8,4
14,10,4
14,13,4
14,15,4
14,16,4
14,17,4
14,19,4
14,20,4
14,22,4
15,22,4
15,21,4
15,18,4
15,17,4
15,16,4
15,15,4
15,14,4
15,13,4
15,10,4
15,9,4
15,6,4
15,5,4
15,4,4
15,3,4
15,2,4
15,1,4
