Row,Column,Droplet
0,5,2
0,6,2
0,10,2
0,17,2
0,18,2
0,22,2
1,19,2
1,12,2
1,7,2
1,0,2
2,6,2
2,9,2
2,18,2
2,21,2
3,22,2
3,17,2
3,16,2
3,15,2
3,13,2
3,10,2
3,5,2
3,4,2
3,3,2
3,1,2
4,9,2
4,21,2
5,21,2
5,12,2
5,9,2
5,0,2
7,20,2
7,16,2
7,8,2
7,4,2
8,8,2
8,20,2
9,22,2
9,21,2
9,10,2
9,9,2
10,1,2
10,4,2
10,6,2
10,8,2
10,13,2
10,16,2
10,18,2
10,20,2
11,18,2
11,13,2
11,6,2
11,1,2
12,0,2
12,1,2
12,12,2
12,13,2
13,19,2
13,15,2
13,14,2
13,7,2
13,3,2
13,2,2
14,2,2
14,3,2
14,4,2
14,14,2
14,15,2
14,16,2
15,21,2
15,19,2
15,9,2
15,7,2
