Row,Column,Droplet
0,0,2
0,3,2
0,8,2
0,12,2
0,15,2
0,20,2
1,16,2
1,14,2
1,4,2
1,2,2
2,2,2
2,3,2
2,8,2
2,14,2
2,15,2
2,20,2
3,19,2
3,12,2
3,7,2
3,0,2
4,5,2
4,6,2
4,17,2
4,18,2
5,20,2
5,18,2
5,15,2
5,8,2
5,6,2
5,3,2
6,1,2
6,2,2
6,3,2
6,4,2
6,6,2
6,8,2
6,10,2
6,13,2
6,14,2
6,15,2
6,16,2
6,18,2
6,20,2
6,22,2
8,3,2
8,15,2
9,20,2
9,17,2
9,8,2
9,5,2
10,9,2
10,21,2
11,22,2
11,21,2
11,17,2
11,15,2
11,10,2
11,9,2
11,5,2
11,3,2
12,5,2
12,10,2
12,17,2
12,22,2
13,22,2
13,17,2
13,10,2
13,5,2
14,7,2
14,19,2
15,15,2
15,3,2
