Row,Column,Droplet
0,0,1
0,1,4
0,2,2
0,4,1
0,6,1
0,7,4
0,8,2
0,10,1
0,12,1
0,13,4
0,14,2
0,16,1
0,18,1
0,19,4
0,20,2
0,22,1
1,23,4
1,21,1
1,20,2
1,19,1
1,18,1
1,17,4
1,15,1
1,14,2
1,13,1
1,12,1
1,11,4
1,9,1
1,8,2
1,7,1
1,6,1
1,5,4
1,3,1
1,2,2
1,1,1
1,0,1
2,0,1
2,2,1
2,3,2
2,4,4
2,5,4
2,6,1
2,8,1
2,9,2
2,10,4
2,11,4
2,12,1
2,14,1
2,15,2
2,16,4
2,17,4
2,18,1
2,20,1
2,21,2
2,22,4
2,23,4
3,23,1
3,21,4
3,20,2
3,19,1
3,18,1
3,17,1
3,15,4
3,14,2
3,13,1
3,12,1
3,11,1
3,9,4
3,8,2
3,7,1
3,6,1
3,5,1
3,3,4
3,2,2
3,1,1
3,0,1
4,0,1
4,1,2
4,2,2
4,4,2
4,6,1
4,7,2
4,8,2
4,10,2
4,12,1
4,13,2
4,14,2
4,16,2
4,18,1
4,19,2
4,20,2
4,22,2
5,23,2
5,22,4
5,21,1
5,20,4
5,19,2
5,18,1
5,17,2
5,16,4
5,15,1
5,14,4
5,13,2
5,12,1
5,11,2
5,10,4
5,9,1
5,8,4
5,7,2
5,6,1
5,5,2
5,4,4
5,3,1
5,2,4
5,1,2
5,0,1
6,0,1
6,1,4
6,4,4
6,6,1
6,7,4
6,10,4
6,12,1
6,13,4
6,16,4
6,18,1
6,19,4
6,22,4
7,21,4
7,20,2
7,19,1
7,15,4
7,14,2
7,13,1
7,9,4
7,8,2
7,7,1
7,3,4
7,2,2
7,1,1
8,0,2
8,1,4
8,5,1
8,6,2
8,7,4
8,11,1
8,12,2
8,13,4
8,17,1
8,18,2
8,19,4
8,23,1
9,22,2
9,21,2
9,20,4
9,19,2
9,18,4
9,16,2
9,15,2
9,14,4
9,13,2
9,12,4
9,10,2
9,9,2
9,8,4
9,7,2
9,6,4
9,4,2
9,3,2
9,2,4
9,1,2
9,0,4
10,0,4
10,1,1
10,2,2
10,3,4
10,4,2
10,5,2
10,6,4
10,7,1
10,8,2
10,9,4
10,10,2
10,11,2
10,12,4
10,13,1
10,14,2
10,15,4
10,16,2
10,17,2
10,18,4
10,19,1
10,20,2
10,21,4
10,22,2
10,23,2
11,23,1
11,22,2
11,21,4
11,20,4
11,19,4
11,18,4
11,17,1
11,16,2
11,15,4
11,14,4
11,13,4
11,12,4
11,11,1
11,10,2
11,9,4
11,8,4
11,7,4
11,6,4
11,5,1
11,4,2
11,3,4
11,2,4
11,1,4
11,0,4
12,1,1
12,3,4
12,4,1
12,5,2
12,7,1
12,9,4
12,10,1
12,11,2
12,13,1
12,15,4
12,16,1
12,17,2
12,19,1
12,21,4
12,22,1
12,23,2
13,21,2
13,20,4
13,19,1
13,15,2
13,14,4
13,13,1
13,9,2
13,8,4
13,7,1
13,3,2
13,2,4
13,1,1
14,0,2
14,1,2
14,2,2
14,3,1
14,4,2
14,5,4
14,6,2
14,7,2
14,8,2
14,9,1
14,10,2
14,11,4
14,12,2
14,13,2
14,14,2
14,15,1
14,16,2
14,17,4
14,18,2
14,19,2
14,20,2
14,21,1
14,22,2
14,23,4
15,21,1
15,20,4
15,19,1
15,18,4
15,15,1
15,14,4
15,13,1
15,12,4
15,9,1
15,8,4
15,7,1
15,6,4
15,3,1
15,2,4
15,1,1
15,0,4
