well_name,SecY-G,Liposome_name,Liposome_conc,SecE,combo,Mg,K
A1,1.25,no_lipo,0.0,2.5,GFP1-10 100,8,85
A10,0.0,DOPC,3.0,0.0,GFP1-10 1000,8,85
A11,1.25,no_lipo,0.0,2.5,GFP1-10 250,8,85
A12,2.5,DOPC,1.5,0.0,GFP1-10 250,8,85
A13,2.5,DOPC,3.0,0.0,GFP1-10 250,8,85
A14,2.5,DOPC,1.5,2.5,GFP1-10 250,8,85
A15,0.0,DOPC,3.0,0.0,GFP1-10 250,8,85
A16,1.25,no_lipo,0.0,2.5,GFP1-10 500,8,85
A17,2.5,DOPC,1.5,0.0,GFP1-10 500,8,85
A18,2.5,DOPC,3.0,0.0,GFP1-10 500,8,85
A19,2.5,DOPC,1.5,2.5,GFP1-10 500,8,85
A2,2.5,DOPC,1.5,0.0,GFP1-10 100,8,85
A20,0.0,DOPC,3.0,0.0,GFP1-10 500,8,85
A3,2.5,DOPC,3.0,0.0,GFP1-10 100,8,85
A4,2.5,DOPC,1.5,2.5,GFP1-10 100,8,85
A5,0.0,DOPC,3.0,0.0,GFP1-10 100,8,85
A6,1.25,no_lipo,0.0,2.5,GFP1-10 1000,8,85
A7,2.5,DOPC,1.5,0.0,GFP1-10 1000,8,85
A8,2.5,DOPC,3.0,0.0,GFP1-10 1000,8,85
A9,2.5,DOPC,1.5,2.5,GFP1-10 1000,8,85
B1,1.25,DOPC,1.5,2.5,GFP1-10 100,8,85
B10,0.0,DOPC,1.5,0.0,GFP1-10 1000,8,85
B11,1.25,DOPC,1.5,2.5,GFP1-10 250,8,85
B12,2.5,DOPC,1.5,2.5,GFP1-10 250,8,85
B13,5.0,no_lipo,0.0,2.5,GFP1-10 250,8,85
B14,1.25,no_lipo,0.0,0.0,GFP1-10 250,8,85
B15,0.0,DOPC,1.5,0.0,GFP1-10 250,8,85
B16,1.25,DOPC,1.5,2.5,GFP1-10 500,8,85
B17,2.5,DOPC,1.5,2.5,GFP1-10 500,8,85
B18,5.0,no_lipo,0.0,2.5,GFP1-10 500,8,85
B19,1.25,no_lipo,0.0,0.0,GFP1-10 500,8,85
B2,2.5,DOPC,1.5,2.5,GFP1-10 100,8,85
B20,0.0,DOPC,1.5,0.0,GFP1-10 500,8,85
B3,5.0,no_lipo,0.0,2.5,GFP1-10 100,8,85
B4,1.25,no_lipo,0.0,0.0,GFP1-10 100,8,85
B5,0.0,DOPC,1.5,0.0,GFP1-10 100,8,85
B6,1.25,DOPC,1.5,2.5,GFP1-10 1000,8,85
B7,2.5,DOPC,1.5,2.5,GFP1-10 1000,8,85
B8,5.0,no_lipo,0.0,2.5,GFP1-10 1000,8,85
B9,1.25,no_lipo,0.0,0.0,GFP1-10 1000,8,85
C1,1.25,DOPC,3.0,0.0,GFP1-10 100,8,85
C10,0.0,DOPC,1.5,0.0,GFP1-10 1000,8,85
C11,1.25,DOPC,3.0,0.0,GFP1-10 250,8,85
C12,2.5,no_lipo,0.0,0.0,GFP1-10 250,8,85
C13,1.25,DOPC,1.5,0.0,GFP1-10 250,8,85
C14,5.0,DOPC,1.5,0.0,GFP1-10 250,8,85
C15,0.0,DOPC,1.5,0.0,GFP1-10 250,8,85
C16,1.25,DOPC,3.0,0.0,GFP1-10 500,8,85
C17,2.5,no_lipo,0.0,0.0,GFP1-10 500,8,85
C18,1.25,DOPC,1.5,0.0,GFP1-10 500,8,85
C19,5.0,DOPC,1.5,0.0,GFP1-10 500,8,85
C2,2.5,no_lipo,0.0,0.0,GFP1-10 100,8,85
C20,0.0,DOPC,1.5,0.0,GFP1-10 500,8,85
C3,1.25,DOPC,1.5,0.0,GFP1-10 100,8,85
C4,5.0,DOPC,1.5,0.0,GFP1-10 100,8,85
C5,0.0,DOPC,1.5,0.0,GFP1-10 100,8,85
C6,1.25,DOPC,3.0,0.0,GFP1-10 1000,8,85
C7,2.5,no_lipo,0.0,0.0,GFP1-10 1000,8,85
C8,1.25,DOPC,1.5,0.0,GFP1-10 1000,8,85
C9,5.0,DOPC,1.5,0.0,GFP1-10 1000,8,85
D1,5.0,DOPC,3.0,2.5,GFP1-10 100,8,85
D10,2.5,DOPC,3.0,2.5,GFP1-10 1000,8,85
D11,5.0,DOPC,3.0,2.5,GFP1-10 250,8,85
D12,0.0,DOPC,1.5,2.5,GFP1-10 250,8,85
D13,1.25,DOPC,3.0,2.5,GFP1-10 250,8,85
D14,5.0,no_lipo,0.0,0.0,GFP1-10 250,8,85
D15,2.5,DOPC,3.0,2.5,GFP1-10 250,8,85
D16,5.0,DOPC,3.0,2.5,GFP1-10 500,8,85
D17,0.0,DOPC,1.5,2.5,GFP1-10 500,8,85
D18,1.25,DOPC,3.0,2.5,GFP1-10 500,8,85
D19,5.0,no_lipo,0.0,0.0,GFP1-10 500,8,85
D2,0.0,DOPC,1.5,2.5,GFP1-10 100,8,85
D20,2.5,DOPC,3.0,2.5,GFP1-10 500,8,85
D3,1.25,DOPC,3.0,2.5,GFP1-10 100,8,85
D4,5.0,no_lipo,0.0,0.0,GFP1-10 100,8,85
D5,2.5,DOPC,3.0,2.5,GFP1-10 100,8,85
