well_name,Mg,combo,K
A1,8,BL59-2,85
A10,8,WT60-875J,85
A2,8,WT60-1000J,85
A3,8,WT60-1250J,85
A4,8,WT60-125J,85
A5,8,WT60-250J,85
A6,8,WT60-375J,85
A7,8,WT60-500J,85
A8,8,WT60-625J,85
A9,8,WT60-750J,85
B1,12,BL59-2,85
B10,12,WT60-875J,85
B2,12,WT60-1000J,85
B3,12,WT60-1250J,85
B4,12,WT60-125J,85
B5,12,WT60-250J,85
B6,12,WT60-375J,85
B7,12,WT60-500J,85
B8,12,WT60-625J,85
B9,12,WT60-750J,85
C1,12,BL59-2,85
C10,12,WT60-875J,85
C2,12,WT60-1000J,85
C3,12,WT60-1250J,85
C4,12,WT60-125J,85
C5,12,WT60-250J,85
C6,12,WT60-375J,85
C7,12,WT60-500J,85
C8,12,WT60-625J,85
C9,12,WT60-750J,85
D1,10,BL59-2,85
D10,10,WT60-875J,85
D2,10,WT60-1000J,85
D3,10,WT60-1250J,85
D4,10,WT60-125J,85
D5,10,WT60-250J,85
D6,10,WT60-375J,85
D7,10,WT60-500J,85
D8,10,WT60-625J,85
D9,10,WT60-750J,85
E1,14,BL59-2,85
E10,14,WT60-875J,85
E2,14,WT60-1000J,85
E3,14,WT60-1250J,85
E4,14,WT60-125J,85
E5,14,WT60-250J,85
E6,14,WT60-375J,85
E7,14,WT60-500J,85
E8,14,WT60-625J,85
E9,14,WT60-750J,85
F1,12,BL59-2,85
F10,12,WT60-875J,85
F2,12,WT60-1000J,85
F3,12,WT60-1250J,85
F4,12,WT60-125J,85
F5,12,WT60-250J,85
F6,12,WT60-375J,85
F7,12,WT60-500J,85
F8,12,WT60-625J,85
F9,12,WT60-750J,85
G1,14,BL59-2,85
G10,14,WT60-875J,85
G2,14,WT60-1000J,85
G3,14,WT60-1250J,85
G4,14,WT60-125J,85
G5,14,WT60-250J,85
G6,14,WT60-375J,85
G7,14,WT60-500J,85
G8,14,WT60-625J,85
G9,14,WT60-750J,85
H1,10,BL59-2,85
H10,10,WT60-875J,85
H2,10,WT60-1000J,85
H3,10,WT60-1250J,85
H4,10,WT60-125J,85
H5,10,WT60-250J,85
H6,10,WT60-375J,85
H7,10,WT60-500J,85
H8,10,WT60-625J,85
H9,10,WT60-750J,85
I1,8,BL59-2,85
I10,8,WT60-875J,85
I2,8,WT60-1000J,85
I3,8,WT60-1250J,85
I4,8,WT60-125J,85
I5,8,WT60-250J,85
I6,8,WT60-375J,85
I7,8,WT60-500J,85
I8,8,WT60-625J,85
I9,8,WT60-750J,85
J1,8,BL59-2,85
J10,8,WT60-875J,85
J2,8,WT60-1000J,85
J3,8,WT60-1250J,85
J4,8,WT60-125J,85
J5,8,WT60-250J,85
J6,8,WT60-375J,85
J7,8,WT60-500J,85
J8,8,WT60-625J,85
J9,8,WT60-750J,85
K1,10,BL59-2,85
K10,10,WT60-875J,85
K2,10,WT60-1000J,85
K3,10,WT60-1250J,85
K4,10,WT60-125J,85
K5,10,WT60-250J,85
K6,10,WT60-375J,85
K7,10,WT60-500J,85
K8,10,WT60-625J,85
K9,10,WT60-750J,85
L1,14,BL59-2,85
L10,14,WT60-875J,85
L2,14,WT60-1000J,85
L3,14,WT60-1250J,85
L4,14,WT60-125J,85
L5,14,WT60-250J,85
L6,14,WT60-375J,85
L7,14,WT60-500J,85
L8,14,WT60-625J,85
L9,14,WT60-750J,85
