Row,Column,Droplet
0,0,6
0,1,8
0,2,6
0,3,8
0,4,6
0,5,8
0,6,6
0,7,8
0,8,6
0,9,8
0,10,6
0,11,8
0,12,6
0,13,8
0,14,6
0,15,8
0,16,6
0,17,8
0,18,6
0,19,8
1,19,9
1,18,2
1,17,9
1,16,2
1,15,9
1,14,2
1,13,9
1,12,2
1,11,9
1,10,2
1,9,9
1,8,2
1,7,9
1,6,2
1,5,9
1,4,2
1,3,9
1,2,2
1,1,9
1,0,2
2,0,1
2,1,7
2,2,1
2,3,7
2,4,1
2,5,7
2,6,1
2,7,7
2,8,1
2,9,7
2,10,1
2,11,7
2,12,1
2,13,7
2,14,1
2,15,7
2,16,1
2,17,7
2,18,1
2,19,7
3,19,3
3,17,3
3,15,3
3,13,3
3,11,3
3,9,3
3,7,3
3,5,3
3,3,3
3,1,3
4,0,1
4,1,8
4,2,1
4,3,8
4,4,1
4,5,8
4,6,1
4,7,8
4,8,1
4,9,8
4,10,1
4,11,8
4,12,1
4,13,8
4,14,1
4,15,8
4,16,1
4,17,8
4,18,1
4,19,8
5,19,9
5,18,7
5,17,9
5,16,7
5,15,9
5,14,7
5,13,9
5,12,7
5,11,9
5,10,7
5,9,9
5,8,7
5,7,9
5,6,7
5,5,9
5,4,7
5,3,9
5,2,7
5,1,9
5,0,7
6,0,4
6,1,2
6,2,4
6,3,2
6,4,4
6,5,2
6,6,4
6,7,2
6,8,4
6,9,2
6,10,4
6,11,2
6,12,4
6,13,2
6,14,4
6,15,2
6,16,4
6,17,2
6,18,4
6,19,2
7,19,8
7,18,9
7,17,8
7,16,9
7,15,8
7,14,9
7,13,8
7,12,9
7,11,8
7,10,9
7,9,8
7,8,9
7,7,8
7,6,9
7,5,8
7,4,9
7,3,8
7,2,9
7,1,8
7,0,9
8,0,4
8,1,5
8,2,4
8,3,5
8,4,4
8,5,5
8,6,4
8,7,5
8,8,4
8,9,5
8,10,4
8,11,5
8,12,4
8,13,5
8,14,4
8,15,5
8,16,4
8,17,5
8,18,4
8,19,5
9,19,5
9,17,5
9,15,5
9,13,5
9,11,5
9,9,5
9,7,5
9,5,5
9,3,5
9,1,5
10,0,6
10,2,6
10,4,6
10,6,6
10,8,6
10,10,6
10,12,6
10,14,6
10,16,6
10,18,6
11,19,5
11,18,4
11,17,5
11,16,4
11,15,5
11,14,4
11,13,5
11,12,4
11,11,5
11,10,4
11,9,5
11,8,4
11,7,5
11,6,4
11,5,5
11,4,4
11,3,5
11,2,4
11,1,5
11,0,4
12,0,6
12,1,1
12,2,6
12,3,1
12,4,6
12,5,1
12,6,6
12,7,1
12,8,6
12,9,1
12,10,6
12,11,1
12,12,6
12,13,1
12,14,6
12,15,1
12,16,6
12,17,1
12,18,6
12,19,1
13,19,3
13,18,2
13,17,3
13,16,2
13,15,3
13,14,2
13,13,3
13,12,2
13,11,3
13,10,2
13,9,3
13,8,2
13,7,3
13,6,2
13,5,3
13,4,2
13,3,3
13,2,2
13,1,3
13,0,2
14,0,3
14,2,3
14,4,3
14,6,3
14,8,3
14,10,3
14,12,3
14,14,3
14,16,3
14,18,3
15,18,7
15,16,7
15,14,7
15,12,7
15,10,7
15,8,7
15,6,7
15,4,7
15,2,7
15,0,7
