well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
A1,Neu,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
A10,AqpZ,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
A11,B2AR,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
A12,Blank,0.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
A13,Neu,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
A14,Mito,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
A15,Glut,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
A16,B2AR,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
A17,Glut,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
A18,Glut,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
A19,Glut,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
A2,B2AR,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
A20,Blank,0.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
A21,Glut,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
A22,B2AR,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
A23,B2AR,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
A24,AqpZ,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
A3,Mito,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
A4,MtlA,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
A5,Mito,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
A6,Glut,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
A7,MtlA,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
A8,Blank,0.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
A9,Mito,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
B1,MtlA,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
B10,Mito,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
B11,MtlA,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
B12,Mito,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
B13,Neu,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
B14,AqpZ,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
B15,Glut,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
B16,MtlA,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
B17,AqpZ,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
B18,Neu,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
B19,AqpZ,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
