Row,Column,Droplet
0,4,4
0,6,4
0,7,4
0,9,4
0,14,4
0,17,4
0,18,4
1,21,4
1,17,4
1,15,4
1,13,4
1,11,4
1,9,4
1,8,4
1,3,4
2,2,4
2,18,4
2,20,4
2,22,4
3,22,4
3,21,4
3,18,4
3,12,4
3,10,4
3,0,4
4,5,4
4,16,4
4,18,4
4,19,4
5,15,4
5,12,4
5,10,4
5,9,4
5,6,4
5,2,4
5,1,4
5,0,4
6,6,4
6,8,4
6,9,4
6,14,4
7,20,4
7,18,4
7,13,4
7,12,4
7,8,4
7,6,4
7,3,4
8,0,4
8,4,4
8,6,4
8,8,4
8,17,4
9,20,4
9,11,4
9,10,4
10,1,4
10,2,4
10,4,4
10,14,4
10,15,4
10,20,4
10,21,4
11,21,4
11,15,4
11,13,4
11,7,4
11,2,4
11,0,4
12,4,4
12,8,4
12,16,4
12,19,4
13,17,4
13,16,4
13,11,4
13,8,4
13,6,4
13,1,4
14,2,4
14,7,4
14,15,4
14,17,4
15,20,4
15,19,4
15,16,4
15,9,4
15,8,4
15,3,4
