Row,Column,Droplet
0,2,2
0,5,2
0,8,2
0,17,2
0,21,2
1,22,2
1,16,2
1,12,2
1,10,2
1,7,2
1,6,2
1,1,2
2,10,2
2,11,2
2,14,2
2,16,2
2,19,2
3,22,2
3,21,2
3,19,2
3,5,2
3,4,2
3,2,2
4,8,2
4,21,2
5,14,2
5,1,2
6,7,2
6,8,2
6,9,2
6,11,2
6,13,2
7,18,2
7,11,2
7,7,2
7,6,2
7,1,2
8,6,2
8,18,2
9,20,2
9,19,2
9,13,2
9,10,2
10,4,2
10,13,2
10,14,2
10,15,2
11,16,2
11,14,2
11,12,2
11,10,2
11,6,2
11,2,2
11,1,2
11,0,2
12,5,2
12,7,2
12,11,2
12,13,2
12,19,2
13,10,2
13,8,2
13,2,2
13,1,2
14,5,2
14,15,2
14,19,2
15,21,2
15,14,2
15,11,2
15,0,2
