Row,Column,Droplet
0,5,2
0,12,2
0,20,2
1,16,2
1,14,2
1,10,2
2,4,2
2,5,2
2,6,2
3,22,2
3,10,2
3,7,2
3,5,2
3,1,2
4,0,2
4,2,2
4,4,2
4,9,2
4,16,2
4,18,2
4,21,2
5,22,2
5,20,2
5,19,2
5,18,2
5,16,2
5,15,2
5,4,2
6,2,2
6,6,2
6,9,2
6,16,2
7,22,2
7,21,2
7,11,2
7,9,2
7,1,2
8,0,2
8,3,2
8,7,2
8,9,2
8,15,2
8,18,2
8,21,2
9,16,2
9,14,2
9,4,2
9,3,2
9,2,2
10,3,2
10,4,2
10,11,2
10,12,2
10,14,2
11,2,2
11,1,2
12,4,2
12,7,2
12,18,2
13,15,2
13,14,2
13,11,2
13,8,2
13,5,2
13,1,2
14,0,2
14,4,2
14,5,2
14,10,2
14,16,2
14,21,2
15,11,2
15,7,2
15,5,2
