Row,Column,Droplet
0,0,1
0,1,1
0,2,1
0,4,1
0,5,1
0,6,1
0,8,1
0,13,1
0,14,1
0,18,1
0,19,1
0,20,1
1,21,1
1,18,1
1,17,1
1,12,1
1,11,1
1,10,1
1,8,1
1,6,1
1,5,1
1,2,1
2,1,1
2,2,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,12,1
2,15,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
3,22,1
3,19,1
3,18,1
3,16,1
3,11,1
3,8,1
3,6,1
3,3,1
3,2,1
3,0,1
4,9,1
4,11,1
4,12,1
4,13,1
4,16,1
4,17,1
4,19,1
4,20,1
4,22,1
5,22,1
5,20,1
5,19,1
5,16,1
5,15,1
5,5,1
5,1,1
6,0,1
6,1,1
6,6,1
6,7,1
6,8,1
6,10,1
6,11,1
6,13,1
6,15,1
6,17,1
6,18,1
6,19,1
6,20,1
6,22,1
7,22,1
7,21,1
7,19,1
7,14,1
7,13,1
7,12,1
7,10,1
7,8,1
7,5,1
7,4,1
7,2,1
8,1,1
8,2,1
8,3,1
8,8,1
8,9,1
8,10,1
8,12,1
8,13,1
8,14,1
8,17,1
8,20,1
9,20,1
9,17,1
9,15,1
9,14,1
9,13,1
9,12,1
9,11,1
9,9,1
9,3,1
10,0,1
10,2,1
10,5,1
10,7,1
10,8,1
10,9,1
10,11,1
10,12,1
10,13,1
10,14,1
10,19,1
10,21,1
11,19,1
11,13,1
11,11,1
11,10,1
11,6,1
11,5,1
11,3,1
11,0,1
12,0,1
12,2,1
12,3,1
12,4,1
12,5,1
12,7,1
12,10,1
12,12,1
12,16,1
12,17,1
12,20,1
12,21,1
13,17,1
13,16,1
13,15,1
13,14,1
13,12,1
13,11,1
13,10,1
13,9,1
13,6,1
13,5,1
13,4,1
13,3,1
13,1,1
13,0,1
14,0,1
14,5,1
14,6,1
14,8,1
14,11,1
14,12,1
14,13,1
14,17,1
14,21,1
15,20,1
15,19,1
15,18,1
15,16,1
15,13,1
15,11,1
15,10,1
15,7,1
15,4,1
15,3,1
15,2,1
15,0,1
