Row,Column,Droplet
0,0,1
0,1,2
0,2,2
0,3,4
0,4,2
0,5,3
0,6,6
0,7,4
0,8,9
0,9,3
0,10,3
0,11,8
0,12,4
0,13,7
0,14,5
0,15,4
0,16,2
0,17,3
0,18,1
0,19,1
0,20,7
0,21,4
0,22,5
1,22,3
1,21,4
1,20,8
1,19,5
1,18,6
1,17,5
1,16,2
1,15,4
1,14,4
1,13,2
1,11,2
1,10,3
1,9,7
1,8,2
1,7,8
1,6,5
1,5,9
1,4,4
1,3,3
1,2,1
1,1,6
1,0,4
2,0,5
2,1,6
2,2,6
2,3,3
2,4,3
2,5,5
2,6,5
2,7,9
2,9,3
2,10,4
2,11,5
2,13,3
2,14,5
2,15,7
2,16,2
2,17,1
2,18,4
2,19,4
2,20,4
2,21,4
2,22,7
3,22,3
3,21,10
3,20,5
3,19,1
3,18,1
3,17,7
3,16,5
3,15,5
3,14,4
3,13,3
3,12,2
3,10,3
3,9,3
3,8,2
3,7,2
3,6,3
3,5,2
3,4,4
3,3,2
3,2,3
3,1,5
3,0,5
4,0,3
4,1,8
4,2,3
4,3,9
4,4,1
4,5,4
4,6,1
4,7,10
4,8,3
4,10,4
4,11,7
4,12,3
4,13,4
4,14,3
4,15,7
4,16,9
4,17,7
4,18,6
4,19,4
4,20,6
4,21,4
4,22,2
5,22,8
5,21,6
5,20,5
5,19,5
5,18,8
5,17,3
5,16,8
5,15,2
5,14,1
5,13,5
5,12,3
5,11,6
5,10,4
5,9,3
5,8,5
5,7,7
5,6,4
5,5,5
5,4,6
5,3,8
5,2,7
5,1,3
5,0,7
6,2,7
6,3,3
6,4,3
6,5,3
6,6,3
6,7,2
6,8,7
6,9,7
6,10,1
6,11,2
6,12,2
6,13,3
6,14,7
6,15,1
6,16,3
6,17,2
6,18,5
6,19,1
6,20,5
6,21,2
6,22,3
7,22,4
7,21,2
7,20,6
7,19,7
7,18,3
7,17,4
7,16,8
7,15,1
7,14,7
7,13,5
7,12,4
7,11,8
7,9,2
7,8,2
7,7,4
7,6,2
7,5,3
7,4,2
7,3,5
7,2,4
7,1,2
7,0,4
8,0,10
8,1,4
8,2,7
8,3,8
8,4,1
8,5,3
8,6,10
8,7,9
8,8,6
8,9,1
8,11,6
8,12,5
8,13,5
8,14,3
8,15,5
8,16,5
8,17,7
8,18,6
8,19,4
8,20,5
8,21,5
9,21,6
9,20,7
9,19,9
9,18,8
9,17,7
9,16,2
9,15,5
9,14,5
9,13,3
9,12,4
9,11,5
9,10,1
9,9,3
9,8,6
9,7,2
9,6,5
9,5,5
9,4,8
9,2,6
9,1,6
9,0,4
10,0,4
10,1,7
10,2,4
10,3,8
10,4,5
10,5,2
10,6,8
10,7,2
10,8,4
10,9,4
10,10,6
10,12,1
10,13,3
10,14,7
10,15,10
10,16,4
10,17,2
10,18,1
10,19,2
10,20,4
10,21,5
11,21,10
11,20,6
11,19,2
11,18,4
11,17,1
11,16,9
11,15,8
11,14,5
11,13,9
11,12,4
11,11,3
11,10,6
11,9,8
11,8,3
11,7,4
11,6,4
11,4,7
11,3,6
11,2,6
11,1,8
11,0,3
12,0,2
12,1,4
12,2,6
12,4,3
12,5,8
12,6,8
12,7,4
12,8,8
12,9,3
12,10,3
12,11,5
12,12,3
12,13,4
12,14,2
12,15,3
12,16,8
12,17,2
12,18,5
12,19,4
12,20,2
12,21,5
13,21,5
13,20,5
13,19,5
13,18,1
13,17,4
13,16,8
13,15,7
13,14,9
13,13,9
13,12,5
13,11,3
13,10,4
13,9,5
13,8,7
13,7,6
13,6,4
13,5,1
13,3,2
13,2,6
13,1,1
14,0,6
14,1,5
14,2,2
14,3,3
14,4,7
14,5,3
14,6,5
14,7,3
14,8,8
14,9,3
14,10,6
14,11,3
14,12,7
14,13,5
14,14,4
14,15,4
14,16,1
14,17,6
14,18,4
14,19,8
14,20,6
14,21,5
15,21,2
15,20,3
15,19,4
15,18,2
15,17,6
15,16,3
15,15,3
15,14,3
15,13,1
15,12,9
15,11,4
15,10,9
15,9,1
15,8,6
15,7,3
15,6,5
15,5,2
15,4,1
15,3,9
15,2,2
15,1,5
15,0,6
