Row,Column,Droplet
0,1,4
0,4,4
0,6,4
0,9,4
0,12,4
0,14,4
0,20,4
1,22,4
1,19,4
1,14,4
1,10,4
1,9,4
1,8,4
1,5,4
1,3,4
1,2,4
2,0,4
2,2,4
2,3,4
2,4,4
2,5,4
2,8,4
2,9,4
2,12,4
2,13,4
2,17,4
2,18,4
2,20,4
3,19,4
3,18,4
3,15,4
3,13,4
3,12,4
3,8,4
3,6,4
3,4,4
3,2,4
4,4,4
4,7,4
4,9,4
4,12,4
4,13,4
4,16,4
4,21,4
5,21,4
5,16,4
5,12,4
5,10,4
5,6,4
5,3,4
6,1,4
6,3,4
6,9,4
6,10,4
6,11,4
6,12,4
6,14,4
6,15,4
6,16,4
6,18,4
6,19,4
6,21,4
6,22,4
7,22,4
7,17,4
7,9,4
7,8,4
8,1,4
8,3,4
8,4,4
8,8,4
8,18,4
8,19,4
8,20,4
8,21,4
9,18,4
9,17,4
9,11,4
9,9,4
9,5,4
9,3,4
9,2,4
9,0,4
10,0,4
10,2,4
10,5,4
10,6,4
10,10,4
10,14,4
10,18,4
10,20,4
11,21,4
11,18,4
11,16,4
11,15,4
11,13,4
11,10,4
11,9,4
11,6,4
11,5,4
11,3,4
11,0,4
12,0,4
12,1,4
12,3,4
12,8,4
12,13,4
12,15,4
12,19,4
12,21,4
13,19,4
13,15,4
13,7,4
13,5,4
14,1,4
14,3,4
14,12,4
14,13,4
14,17,4
14,19,4
15,21,4
15,19,4
15,11,4
15,10,4
15,8,4
15,2,4
15,1,4
15,0,4
