well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
A1,3,Vol,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
A10,3,Glut,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
A11,3,Neu,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
A12,3,Glut,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
A13,3,Vol,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
A14,3,AqpZ,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
A15,3,Neu,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
A16,3,Neu,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
A17,3,AqpZ,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
A18,3,Vol,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
A19,3,AqpZ,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
A2,3,Vol,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
A20,3,Neu,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
A21,3,Mol,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
A22,3,AqpZ,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
A23,3,Mol,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
A3,3,Neu,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
A4,3,Mol,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
A5,3,Neu,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
A6,3,Glut,5.0,85.0,DOPC,3.0,12.0,0.0,BL62,S22
A7,3,Neu,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
A8,3,Neu,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
A9,3,Neu,5.0,135.0,DOPC,3.0,16.0,1.25,BL62,S22
B1,3,AqpZ,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
B10,3,Glut,5.0,135.0,DMPC,3.0,20.0,1.25,BL62,S22
B11,3,Vol,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
B12,3,Mol,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
B13,3,Vol,5.0,85.0,DOPC,3.0,20.0,1.25,BL62,S22
B14,3,Vol,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
B15,3,Neu,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
B16,3,AqpZ,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
B17,3,Glut,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
B18,3,AqpZ,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
B19,3,Glut,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
B2,3,Glut,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
B20,3,Vol,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
B21,3,Vol,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
B22,3,Glut,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
