Row,Column,Droplet
0,3,2
0,7,2
0,11,2
0,13,2
0,14,2
0,15,2
0,16,2
0,19,2
0,22,2
1,12,2
1,1,2
2,6,2
2,13,2
2,16,2
2,20,2
3,21,2
3,18,2
3,13,2
3,3,2
4,1,2
4,4,2
4,14,2
5,16,2
5,15,2
5,14,2
5,8,2
5,4,2
5,0,2
6,5,2
6,6,2
6,8,2
6,9,2
6,16,2
6,20,2
7,22,2
7,20,2
7,19,2
7,15,2
7,4,2
8,3,2
8,11,2
9,17,2
9,16,2
9,15,2
9,13,2
9,5,2
9,2,2
10,0,2
10,1,2
10,7,2
10,13,2
10,16,2
10,20,2
11,19,2
11,16,2
11,14,2
11,3,2
11,2,2
12,6,2
12,7,2
12,9,2
12,17,2
12,19,2
13,19,2
13,18,2
13,13,2
13,11,2
13,7,2
13,5,2
13,0,2
14,1,2
14,4,2
14,8,2
14,9,2
14,17,2
14,19,2
15,17,2
15,15,2
15,10,2
15,8,2
15,3,2
15,2,2
