Row,Column,Droplet
0,0,1
0,1,2
0,2,3
0,3,3
0,4,1
0,6,3
0,7,3
0,9,1
0,11,1
0,12,2
0,13,1
0,14,1
0,15,3
0,16,2
0,18,3
0,19,2
0,20,1
0,22,2
1,22,2
1,21,3
1,19,1
1,18,2
1,17,1
1,16,1
1,15,3
1,13,3
1,11,2
1,9,1
1,8,1
1,7,2
1,6,1
1,3,2
1,1,3
1,0,2
2,0,1
2,1,3
2,2,1
2,3,1
2,5,1
2,6,2
2,7,3
2,10,1
2,11,1
2,12,1
2,13,2
2,14,3
2,15,3
2,18,3
2,19,3
2,20,3
2,21,1
2,22,1
3,21,1
3,19,2
3,17,2
3,16,2
3,15,2
3,13,3
3,12,3
3,11,3
3,10,3
3,9,2
3,8,2
3,7,2
3,6,3
3,5,1
3,4,2
3,3,1
3,2,1
3,1,2
3,0,1
4,0,1
4,1,2
4,2,2
4,3,1
4,4,1
4,5,2
4,6,3
4,8,3
4,9,3
4,10,2
4,11,1
4,12,1
4,13,2
4,14,3
4,16,1
4,18,3
4,19,3
4,20,2
5,22,3
5,21,3
5,19,3
5,17,2
5,15,3
5,14,2
5,11,2
5,10,2
5,9,1
5,8,1
5,7,3
5,4,3
5,1,3
5,0,1
6,1,3
6,5,3
6,6,3
6,7,3
6,8,3
6,9,1
6,10,2
6,11,1
6,12,1
6,13,2
6,14,1
6,16,1
6,18,1
6,19,3
6,20,3
6,21,1
6,22,2
7,21,3
7,20,3
7,18,3
7,17,3
7,16,3
7,13,2
7,11,3
7,10,2
7,9,3
7,8,2
7,7,2
7,6,2
7,5,1
7,4,2
7,3,2
7,2,2
7,0,3
8,0,1
8,1,3
8,2,3
8,3,2
8,5,1
8,6,1
8,7,1
8,8,1
8,11,3
8,12,3
8,13,3
8,14,1
8,15,2
8,16,1
8,18,1
8,19,1
8,20,2
8,21,2
9,21,1
9,20,3
9,19,3
9,18,3
9,17,2
9,16,2
9,14,3
9,12,3
9,11,3
9,8,2
9,7,2
9,6,3
9,5,3
9,4,2
9,3,3
10,0,3
10,1,2
10,2,2
10,3,1
10,5,1
10,8,2
10,9,1
10,10,3
10,12,2
10,13,1
10,14,1
10,16,3
10,17,2
10,18,2
10,21,3
11,20,1
11,19,3
11,18,2
11,16,1
11,15,3
11,14,1
11,13,2
11,12,2
11,11,1
11,10,1
11,9,1
11,8,3
11,3,2
11,2,3
11,1,3
12,0,3
12,1,1
12,2,1
12,3,2
12,7,1
12,8,2
12,10,3
12,13,3
12,14,1
12,15,2
12,17,3
12,18,2
12,19,3
12,20,2
12,21,1
13,20,2
13,19,3
13,17,1
13,15,1
13,14,3
13,13,2
13,12,3
13,11,2
13,10,2
13,8,1
13,7,1
13,6,1
13,5,3
13,3,3
13,2,1
13,0,2
14,0,1
14,2,3
14,3,2
14,4,1
14,5,1
14,6,3
14,7,3
14,8,2
14,9,2
14,10,3
14,11,2
14,14,3
14,16,2
14,17,2
14,18,1
14,19,2
14,20,3
15,20,3
15,19,2
15,17,3
15,16,1
15,14,1
15,12,3
15,11,1
15,10,1
15,9,3
15,6,2
15,5,1
15,4,3
15,3,2
15,1,3
15,0,1
