Row,Column,Droplet
0,0,2
0,3,2
0,4,2
0,11,2
0,18,2
1,20,2
1,17,2
1,15,2
1,12,2
1,3,2
1,2,2
2,9,2
2,11,2
2,13,2
2,16,2
2,17,2
3,19,2
3,18,2
3,13,2
3,6,2
3,2,2
4,7,2
4,8,2
4,12,2
4,19,2
5,17,2
5,8,2
5,7,2
5,6,2
6,0,2
6,5,2
6,10,2
6,13,2
6,14,2
6,17,2
7,18,2
7,16,2
7,14,2
7,10,2
7,5,2
7,4,2
8,11,2
8,12,2
9,21,2
9,18,2
9,17,2
9,15,2
9,5,2
9,1,2
10,2,2
10,5,2
10,7,2
10,15,2
10,17,2
10,18,2
11,20,2
11,19,2
11,15,2
11,13,2
11,12,2
11,8,2
11,7,2
11,4,2
12,9,2
12,13,2
12,14,2
13,20,2
13,12,2
13,0,2
14,2,2
14,15,2
14,19,2
15,18,2
15,16,2
15,10,2
15,1,2
15,0,2
