Row,Column,Droplet
0,1,2
0,2,2
0,13,2
0,14,2
0,19,2
0,21,2
1,9,2
1,8,2
1,5,2
2,0,2
2,1,2
2,2,2
2,8,2
2,10,2
2,22,2
3,21,2
3,11,2
3,4,2
3,3,2
4,1,2
4,6,2
4,11,2
4,15,2
4,17,2
4,22,2
5,21,2
5,13,2
5,10,2
5,5,2
6,3,2
6,11,2
6,21,2
6,22,2
7,15,2
7,13,2
7,8,2
7,7,2
7,3,2
7,2,2
7,0,2
8,4,2
8,5,2
8,14,2
9,20,2
9,12,2
9,6,2
9,0,2
10,0,2
10,19,2
10,20,2
10,21,2
11,17,2
11,14,2
11,10,2
11,5,2
12,0,2
12,5,2
12,12,2
13,19,2
13,16,2
13,10,2
13,7,2
13,3,2
14,1,2
14,3,2
14,6,2
14,7,2
14,13,2
14,14,2
14,18,2
14,20,2
15,21,2
15,19,2
15,14,2
15,12,2
15,9,2
15,8,2
15,6,2
15,4,2
