Row,Column,Droplet
0,4,4
0,5,4
0,6,4
0,7,4
0,9,4
0,11,4
0,12,4
0,16,4
0,17,4
0,18,4
1,21,4
1,20,4
1,18,4
1,17,4
1,16,4
1,15,4
1,14,4
1,13,4
1,11,4
1,9,4
1,8,4
1,4,4
1,2,4
1,1,4
2,1,4
2,4,4
2,11,4
2,15,4
2,18,4
2,22,4
3,22,4
3,19,4
3,11,4
3,9,4
3,3,4
3,0,4
4,3,4
4,4,4
4,5,4
4,13,4
4,14,4
4,16,4
4,17,4
4,19,4
5,22,4
5,18,4
5,17,4
5,15,4
5,14,4
5,12,4
5,10,4
5,9,4
5,6,4
5,2,4
5,1,4
5,0,4
6,0,4
6,6,4
6,8,4
6,14,4
6,15,4
6,16,4
6,20,4
7,20,4
7,18,4
7,17,4
7,14,4
7,12,4
7,10,4
7,8,4
7,6,4
7,4,4
7,3,4
8,0,4
8,2,4
8,5,4
8,6,4
8,8,4
8,16,4
8,17,4
8,21,4
9,20,4
9,19,4
9,17,4
9,13,4
9,11,4
9,10,4
10,0,4
10,1,4
10,4,4
10,14,4
10,15,4
10,21,4
11,14,4
11,13,4
11,12,4
11,10,4
11,8,4
11,7,4
11,3,4
12,4,4
13,21,4
13,20,4
13,16,4
13,13,4
13,12,4
13,9,4
13,6,4
13,4,4
13,1,4
13,0,4
14,1,4
14,2,4
14,7,4
14,10,4
14,20,4
15,20,4
15,16,4
15,14,4
15,9,4
15,3,4
