Row,Column,Droplet
0,1,2
0,3,2
0,10,2
0,12,2
0,15,2
0,19,2
0,21,2
0,22,2
1,20,2
1,19,2
1,18,2
1,17,2
1,16,2
1,13,2
1,12,2
1,11,2
1,9,2
1,7,2
1,6,2
1,4,2
1,2,2
1,1,2
1,0,2
2,1,2
2,5,2
2,8,2
2,9,2
2,11,2
2,12,2
2,13,2
2,17,2
2,21,2
2,22,2
3,21,2
3,20,2
3,19,2
3,18,2
3,14,2
3,12,2
3,11,2
3,10,2
3,7,2
3,6,2
3,5,2
3,1,2
4,2,2
4,3,2
4,5,2
4,11,2
4,12,2
4,13,2
4,17,2
4,18,2
4,20,2
5,22,2
5,21,2
5,20,2
5,17,2
5,16,2
5,15,2
5,14,2
5,12,2
5,8,2
5,7,2
5,5,2
5,4,2
5,3,2
5,2,2
6,2,2
6,3,2
6,5,2
6,7,2
6,9,2
6,10,2
6,12,2
6,13,2
6,16,2
6,18,2
6,19,2
7,21,2
7,18,2
7,17,2
7,16,2
7,14,2
7,13,2
7,9,2
7,7,2
7,5,2
7,4,2
7,1,2
7,0,2
8,2,2
8,3,2
8,7,2
8,9,2
8,12,2
8,13,2
8,14,2
8,16,2
9,18,2
9,16,2
9,15,2
9,14,2
9,9,2
9,7,2
9,6,2
9,4,2
9,2,2
9,0,2
10,0,2
10,1,2
10,3,2
10,4,2
10,6,2
10,8,2
10,9,2
10,11,2
10,15,2
10,16,2
10,17,2
10,18,2
10,20,2
10,21,2
11,20,2
11,18,2
11,17,2
11,16,2
11,15,2
11,14,2
11,12,2
11,11,2
11,9,2
11,8,2
11,7,2
11,5,2
11,0,2
12,1,2
12,3,2
12,5,2
12,6,2
12,8,2
12,11,2
12,12,2
12,13,2
12,15,2
12,18,2
12,19,2
12,20,2
12,21,2
13,20,2
13,18,2
13,15,2
13,13,2
13,11,2
13,10,2
13,9,2
13,7,2
13,6,2
13,5,2
13,4,2
13,2,2
13,0,2
14,2,2
14,3,2
14,6,2
14,13,2
14,17,2
14,19,2
14,20,2
14,21,2
15,16,2
15,15,2
15,14,2
15,12,2
15,9,2
15,8,2
15,6,2
15,5,2
15,4,2
15,3,2
