Row,Column,Droplet
0,0,2
0,2,2
0,4,2
0,6,2
0,9,2
0,10,2
0,11,2
0,12,2
0,15,2
0,18,2
0,19,2
0,20,2
0,21,2
1,22,2
1,21,2
1,20,2
1,19,2
1,18,2
1,16,2
1,13,2
1,12,2
1,5,2
1,4,2
1,1,2
2,1,2
2,3,2
2,6,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,16,2
2,17,2
2,18,2
2,20,2
2,21,2
2,22,2
3,21,2
3,20,2
3,17,2
3,15,2
3,14,2
3,13,2
3,11,2
3,10,2
3,6,2
3,5,2
3,1,2
3,0,2
4,0,2
4,1,2
4,3,2
4,8,2
4,9,2
4,12,2
4,15,2
4,16,2
4,17,2
4,19,2
4,20,2
4,21,2
4,22,2
5,22,2
5,21,2
5,20,2
5,19,2
5,18,2
5,17,2
5,16,2
5,15,2
5,12,2
5,9,2
5,5,2
5,3,2
5,1,2
5,0,2
6,0,2
6,6,2
6,8,2
6,9,2
6,11,2
6,13,2
6,15,2
6,20,2
6,21,2
7,21,2
7,20,2
7,18,2
7,17,2
7,15,2
7,11,2
7,9,2
7,8,2
7,4,2
7,1,2
8,3,2
8,4,2
8,6,2
8,9,2
8,12,2
8,14,2
8,16,2
8,18,2
8,19,2
8,20,2
9,21,2
9,20,2
9,14,2
9,13,2
9,10,2
9,9,2
9,5,2
9,3,2
9,1,2
9,0,2
10,0,2
10,1,2
10,5,2
10,7,2
10,8,2
10,9,2
10,10,2
10,12,2
10,15,2
10,16,2
10,19,2
10,20,2
10,21,2
11,21,2
11,15,2
11,11,2
11,9,2
11,6,2
11,5,2
11,4,2
11,2,2
12,1,2
12,2,2
12,3,2
12,8,2
12,9,2
12,12,2
12,13,2
12,14,2
12,15,2
12,17,2
12,19,2
12,20,2
13,20,2
13,19,2
13,17,2
13,10,2
13,8,2
13,7,2
13,6,2
13,5,2
14,1,2
14,2,2
14,7,2
14,10,2
14,12,2
14,14,2
14,16,2
14,17,2
14,19,2
15,21,2
15,20,2
15,15,2
15,13,2
15,12,2
15,9,2
15,8,2
15,7,2
15,6,2
15,5,2
15,3,2
15,2,2
15,1,2
