Row,Column,Droplet
0,0,1
0,1,1
0,4,1
0,5,1
0,6,1
0,7,1
0,9,1
0,10,1
0,11,1
0,13,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
1,21,1
1,20,1
1,19,1
1,18,1
1,16,1
1,15,1
1,14,1
1,13,1
1,7,1
1,6,1
1,4,1
1,1,1
1,0,1
2,0,1
2,7,1
2,8,1
2,11,1
2,12,1
2,14,1
2,17,1
2,19,1
2,20,1
2,21,1
3,20,1
3,19,1
3,16,1
3,12,1
3,11,1
3,10,1
3,9,1
3,5,1
3,2,1
3,1,1
4,0,1
4,1,1
4,5,1
4,8,1
4,10,1
4,11,1
4,15,1
4,17,1
4,18,1
4,20,1
4,22,1
5,18,1
5,17,1
5,14,1
5,13,1
5,12,1
5,9,1
5,6,1
5,4,1
5,3,1
5,1,1
5,0,1
6,1,1
6,2,1
6,5,1
6,6,1
6,9,1
6,11,1
6,12,1
6,13,1
6,14,1
6,18,1
6,19,1
6,21,1
6,22,1
7,19,1
7,16,1
7,14,1
7,13,1
7,12,1
7,10,1
7,9,1
7,8,1
7,7,1
7,5,1
7,4,1
7,3,1
8,0,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,10,1
8,11,1
8,12,1
8,13,1
8,16,1
8,19,1
8,20,1
8,21,1
9,20,1
9,17,1
9,15,1
9,14,1
9,12,1
9,11,1
9,9,1
9,8,1
9,6,1
9,4,1
9,3,1
10,0,1
10,1,1
10,4,1
10,5,1
10,7,1
10,8,1
10,9,1
10,12,1
10,16,1
10,17,1
10,20,1
10,21,1
11,19,1
11,18,1
11,17,1
11,16,1
11,13,1
11,11,1
11,10,1
11,9,1
11,8,1
11,4,1
11,3,1
11,2,1
11,1,1
12,3,1
12,4,1
12,6,1
12,12,1
12,15,1
12,18,1
12,19,1
13,14,1
13,12,1
13,11,1
13,10,1
13,8,1
13,6,1
13,2,1
13,1,1
13,0,1
14,0,1
14,1,1
14,2,1
14,3,1
14,5,1
14,7,1
14,9,1
14,11,1
14,12,1
14,15,1
14,16,1
14,18,1
14,21,1
15,21,1
15,18,1
15,17,1
15,12,1
15,11,1
15,10,1
15,9,1
15,6,1
15,2,1
15,1,1
15,0,1
