Row,Column,Droplet
0,0,2
0,2,2
0,3,2
0,4,2
0,10,2
0,11,2
0,14,2
0,16,2
0,17,2
0,18,2
1,21,2
1,20,2
1,19,2
1,17,2
1,14,2
1,9,2
1,6,2
1,5,2
1,3,2
1,1,2
2,0,2
2,1,2
2,2,2
2,4,2
2,5,2
2,9,2
2,10,2
2,11,2
2,13,2
2,14,2
2,15,2
2,16,2
2,17,2
2,18,2
2,19,2
2,22,2
3,22,2
3,21,2
3,20,2
3,17,2
3,16,2
3,9,2
3,8,2
3,7,2
3,6,2
3,5,2
3,2,2
3,0,2
4,0,2
4,1,2
4,9,2
4,12,2
4,14,2
4,18,2
4,20,2
4,21,2
4,22,2
5,22,2
5,17,2
5,10,2
5,9,2
5,7,2
5,6,2
5,4,2
5,2,2
5,1,2
6,0,2
6,1,2
6,2,2
6,3,2
6,7,2
6,9,2
6,10,2
6,13,2
6,14,2
6,15,2
6,16,2
6,20,2
6,22,2
7,22,2
7,21,2
7,20,2
7,19,2
7,17,2
7,16,2
7,15,2
7,14,2
7,13,2
7,11,2
7,10,2
7,6,2
7,4,2
7,2,2
7,1,2
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
8,6,2
8,7,2
8,8,2
8,9,2
8,10,2
8,11,2
8,16,2
8,20,2
8,21,2
9,21,2
9,20,2
9,18,2
9,15,2
9,11,2
9,10,2
9,9,2
9,7,2
9,2,2
9,1,2
9,0,2
10,1,2
10,5,2
10,6,2
10,7,2
10,10,2
10,11,2
10,13,2
10,15,2
10,17,2
10,18,2
10,20,2
10,21,2
11,21,2
11,20,2
11,19,2
11,17,2
11,16,2
11,4,2
11,3,2
12,0,2
12,2,2
12,3,2
12,7,2
12,9,2
12,16,2
12,17,2
12,18,2
12,19,2
12,20,2
12,21,2
13,21,2
13,20,2
13,19,2
13,18,2
13,17,2
13,15,2
13,14,2
13,12,2
13,9,2
13,3,2
13,2,2
13,1,2
13,0,2
14,0,2
14,1,2
14,2,2
14,7,2
14,8,2
14,10,2
14,11,2
14,13,2
14,16,2
14,17,2
14,19,2
14,20,2
15,19,2
15,17,2
15,16,2
15,15,2
15,14,2
15,8,2
