Row,Column,Droplet
0,2,2
0,3,2
0,4,2
0,7,2
0,8,2
0,10,2
0,12,2
0,13,2
0,14,2
0,21,2
0,22,2
1,21,2
1,20,2
1,19,2
1,17,2
1,14,2
1,11,2
1,10,2
1,8,2
1,6,2
1,4,2
1,2,2
2,3,2
2,4,2
2,7,2
2,11,2
2,12,2
2,15,2
2,16,2
2,17,2
2,19,2
2,20,2
2,22,2
3,21,2
3,20,2
3,18,2
3,14,2
3,11,2
3,10,2
3,9,2
3,8,2
3,7,2
3,4,2
3,2,2
3,0,2
4,2,2
4,5,2
4,8,2
4,10,2
4,11,2
4,13,2
4,15,2
4,17,2
4,18,2
4,20,2
5,22,2
5,21,2
5,20,2
5,16,2
5,15,2
5,14,2
5,11,2
5,6,2
5,4,2
5,3,2
5,1,2
6,0,2
6,2,2
6,3,2
6,8,2
6,11,2
6,12,2
6,13,2
6,14,2
6,15,2
6,16,2
6,19,2
6,21,2
6,22,2
7,22,2
7,20,2
7,19,2
7,17,2
7,16,2
7,15,2
7,9,2
7,4,2
8,1,2
8,2,2
8,3,2
8,4,2
8,8,2
8,9,2
8,10,2
8,13,2
8,14,2
8,15,2
8,16,2
8,19,2
8,20,2
8,21,2
9,21,2
9,20,2
9,19,2
9,18,2
9,17,2
9,16,2
9,15,2
9,11,2
9,7,2
9,4,2
9,2,2
10,3,2
10,5,2
10,8,2
10,10,2
10,12,2
10,13,2
10,14,2
10,16,2
10,18,2
10,19,2
10,20,2
10,21,2
11,21,2
11,19,2
11,17,2
11,15,2
11,11,2
11,8,2
11,7,2
11,6,2
11,4,2
11,1,2
12,0,2
12,1,2
12,3,2
12,7,2
12,9,2
12,10,2
12,13,2
12,14,2
12,16,2
12,20,2
12,21,2
13,20,2
13,19,2
13,16,2
13,14,2
13,11,2
13,9,2
13,8,2
13,7,2
13,6,2
13,2,2
13,1,2
14,0,2
14,1,2
14,2,2
14,3,2
14,4,2
14,5,2
14,6,2
14,7,2
14,8,2
14,13,2
14,17,2
14,19,2
14,21,2
15,21,2
15,17,2
15,16,2
15,13,2
15,8,2
15,7,2
15,5,2
15,4,2
15,2,2
15,1,2
15,0,2
