well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
P14,217,217,85,DOPC,8,1,1.25,3,Beta,5,5,15,13
E15,218,218,85,DOPC,14,0,1.25,3,Beta,5,5,4,14
N9,219,219,85,DOPC,14,2,0,3,Beta,5,5,13,8
F12,222,222,85,DPPC,8,0,1.25,3,Beta,5,5,5,11
K2,224,224,85,DPPC,14,1,0,3,Beta,5,5,10,1
K19,227,227,85,DPPC,20,1,1.25,3,Beta,5,5,10,18
H14,230,230,85,DMPC,14,0,0,3,Beta,5,5,7,13
A22,231,231,85,DMPC,14,1,1.25,3,Beta,5,5,0,21
N22,232,232,85,DMPC,20,0,1.25,3,Beta,5,5,13,21
A17,235,235,185,DOPC,8,2,0,3,Beta,5,5,0,16
K15,236,236,185,DOPC,14,1,0,3,Beta,5,5,10,14
G17,237,237,185,DOPC,14,2,1.25,3,Beta,5,5,6,16
I3,238,238,185,DOPC,20,0,0,3,Beta,5,5,8,2
O2,240,240,185,DPPC,8,1,0,3,Beta,5,5,14,1
C23,241,241,185,DPPC,8,2,1.25,3,Beta,5,5,2,22
E4,242,242,185,DPPC,14,0,0,3,Beta,5,5,4,3
C18,247,247,185,DMPC,8,1,1.25,3,Beta,5,5,2,17
O19,248,248,185,DMPC,14,0,1.25,3,Beta,5,5,14,18
C12,253,253,85,no_lipo,8,1,1.25,0,Beta,5,5,2,11
B17,260,260,85,no_lipo,14,1,0,0,Beta,5,5,1,16
P8,261,261,85,no_lipo,14,2,1.25,0,Beta,5,5,15,7
H18,263,263,85,no_lipo,20,1,1.25,0,Beta,5,5,7,17
K16,264,264,85,no_lipo,8,1,0,0,Beta,5,5,10,15
O21,265,265,85,no_lipo,8,2,1.25,0,Beta,5,5,14,20
M15,266,266,85,no_lipo,14,0,0,0,Beta,5,5,12,14
G14,272,272,185,no_lipo,14,1,0,0,Beta,5,5,6,13
L3,273,273,185,no_lipo,14,2,1.25,0,Beta,5,5,11,2
K22,275,275,185,no_lipo,20,1,1.25,0,Beta,5,5,10,21
M5,285,285,185,no_lipo,14,2,0,0,Beta,5,5,12,4
B9,289,289,85,DOPC,8,1,1.25,3,Dia,5,5,1,8
B20,291,291,85,DOPC,14,2,0,3,Dia,5,5,1,19
A1,293,293,85,DOPC,20,2,1.25,3,Dia,5,5,0,0
L17,294,294,85,DPPC,8,0,1.25,3,Dia,5,5,11,16
J18,296,296,85,DPPC,14,1,0,3,Dia,5,5,9,17
A9,299,299,85,DPPC,20,1,1.25,3,Dia,5,5,0,8
B8,302,302,85,DMPC,14,0,0,3,Dia,5,5,1,7
O12,303,303,85,DMPC,14,1,1.25,3,Dia,5,5,14,11
K7,304,304,85,DMPC,20,0,1.25,3,Dia,5,5,10,6
J4,305,305,85,DMPC,20,2,0,3,Dia,5,5,9,3
I19,306,306,185,DOPC,8,0,1.25,3,Dia,5,5,8,18
H17,308,308,185,DOPC,14,1,0,3,Dia,5,5,7,16
D18,309,309,185,DOPC,14,2,1.25,3,Dia,5,5,3,17
N2,311,311,185,DOPC,20,1,1.25,3,Dia,5,5,13,1
B22,312,312,185,DPPC,8,1,0,3,Dia,5,5,1,21
P16,314,314,185,DPPC,14,0,0,3,Dia,5,5,15,15
D9,317,317,185,DPPC,20,2,0,3,Dia,5,5,3,8
F9,319,319,185,DMPC,8,1,1.25,3,Dia,5,5,5,8
B18,321,321,185,DMPC,14,2,0,3,Dia,5,5,1,17
O18,326,326,85,no_lipo,14,0,1.25,0,Dia,5,5,14,17
P1,327,327,85,no_lipo,14,2,0,0,Dia,5,5,15,0
D1,328,328,85,no_lipo,20,1,0,0,Dia,5,5,3,0
K4,330,330,85,no_lipo,8,0,1.25,0,Dia,5,5,10,3
O5,331,331,85,no_lipo,8,2,0,0,Dia,5,5,14,4
P2,332,332,85,no_lipo,14,1,0,0,Dia,5,5,15,1
O8,335,335,85,no_lipo,20,1,1.25,0,Dia,5,5,14,7
M13,337,337,85,no_lipo,8,2,1.25,0,Dia,5,5,12,12
J3,339,339,85,no_lipo,14,1,1.25,0,Dia,5,5,9,2
M14,344,344,185,no_lipo,14,1,0,0,Dia,5,5,12,13
J12,348,348,185,no_lipo,8,1,0,0,Dia,5,5,9,11
G22,350,350,185,no_lipo,14,0,0,0,Dia,5,5,6,21
G10,352,352,185,no_lipo,20,0,1.25,0,Dia,5,5,6,9
L18,354,354,185,no_lipo,8,0,0,0,Dia,5,5,11,17
A13,357,357,185,no_lipo,14,2,0,0,Dia,5,5,0,12
G19,358,358,185,no_lipo,20,1,0,0,Dia,5,5,6,18
E21,359,359,185,no_lipo,20,2,1.25,0,Dia,5,5,4,20
H22,792,216,85,DOPC,8,0,0,3,Beta,5,5,7,21
D11,794,218,85,DOPC,14,0,1.25,3,Beta,5,5,3,10
L14,795,219,85,DOPC,14,2,0,3,Beta,5,5,11,13
P7,796,220,85,DOPC,20,1,0,3,Beta,5,5,15,6
F10,797,221,85,DOPC,20,2,1.25,3,Beta,5,5,5,9
A18,801,225,85,DPPC,14,2,1.25,3,Beta,5,5,0,17
O14,805,229,85,DMPC,8,2,1.25,3,Beta,5,5,14,13
I4,808,232,85,DMPC,20,0,1.25,3,Beta,5,5,8,3
E13,809,233,85,DMPC,20,2,0,3,Beta,5,5,4,12
O13,811,235,185,DOPC,8,2,0,3,Beta,5,5,14,12
G16,814,238,185,DOPC,20,0,0,3,Beta,5,5,6,15
G6,815,239,185,DOPC,20,1,1.25,3,Beta,5,5,6,5
J5,816,240,185,DPPC,8,1,0,3,Beta,5,5,9,4
L4,822,246,185,DMPC,8,0,0,3,Beta,5,5,11,3
B7,823,247,185,DMPC,8,1,1.25,3,Beta,5,5,1,6
N15,824,248,185,DMPC,14,0,1.25,3,Beta,5,5,13,14
A23,828,252,85,no_lipo,8,0,0,0,Beta,5,5,0,22
O4,831,255,85,no_lipo,14,2,0,0,Beta,5,5,14,3
I21,833,257,85,no_lipo,20,2,1.25,0,Beta,5,5,8,20
P20,835,259,85,no_lipo,8,2,0,0,Beta,5,5,15,19
I10,837,261,85,no_lipo,14,2,1.25,0,Beta,5,5,8,9
F6,840,264,85,no_lipo,8,1,0,0,Beta,5,5,5,5
E8,842,266,85,no_lipo,14,0,0,0,Beta,5,5,4,7
K21,843,267,85,no_lipo,14,1,1.25,0,Beta,5,5,10,20
K20,844,268,85,no_lipo,20,0,1.25,0,Beta,5,5,10,19
L12,846,270,185,no_lipo,8,0,1.25,0,Beta,5,5,11,11
K11,849,273,185,no_lipo,14,2,1.25,0,Beta,5,5,10,10
H4,850,274,185,no_lipo,20,0,0,0,Beta,5,5,7,3
E2,852,276,185,no_lipo,8,1,0,0,Beta,5,5,4,1
N16,857,281,185,no_lipo,20,2,0,0,Beta,5,5,13,15
I8,858,282,185,no_lipo,8,0,0,0,Beta,5,5,8,7
A21,859,283,185,no_lipo,8,1,1.25,0,Beta,5,5,0,20
O7,861,285,185,no_lipo,14,2,0,0,Beta,5,5,14,6
E19,863,287,185,no_lipo,20,2,1.25,0,Beta,5,5,4,18
P11,864,288,85,DOPC,8,0,0,3,Dia,5,5,15,10
D19,866,290,85,DOPC,14,0,1.25,3,Dia,5,5,3,18
H11,871,295,85,DPPC,8,2,0,3,Dia,5,5,7,10
D16,873,297,85,DPPC,14,2,1.25,3,Dia,5,5,3,15
I16,877,301,85,DMPC,8,2,1.25,3,Dia,5,5,8,15
I12,879,303,85,DMPC,14,1,1.25,3,Dia,5,5,8,11
C4,880,304,85,DMPC,20,0,1.25,3,Dia,5,5,2,3
A11,883,307,185,DOPC,8,2,0,3,Dia,5,5,0,10
M1,886,310,185,DOPC,20,0,0,3,Dia,5,5,12,0
L19,888,312,185,DPPC,8,1,0,3,Dia,5,5,11,18
E17,889,313,185,DPPC,8,2,1.25,3,Dia,5,5,4,16
F5,890,314,185,DPPC,14,0,0,3,Dia,5,5,5,4
K3,892,316,185,DPPC,20,0,1.25,3,Dia,5,5,10,2
G4,894,318,185,DMPC,8,0,0,3,Dia,5,5,6,3
O17,897,321,185,DMPC,14,2,0,3,Dia,5,5,14,16
J6,898,322,185,DMPC,20,1,0,3,Dia,5,5,9,5
H16,902,326,85,no_lipo,14,0,1.25,0,Dia,5,5,7,15
L5,903,327,85,no_lipo,14,2,0,0,Dia,5,5,11,4
N19,904,328,85,no_lipo,20,1,0,0,Dia,5,5,13,18
H13,905,329,85,no_lipo,20,2,1.25,0,Dia,5,5,7,12
M10,907,331,85,no_lipo,8,2,0,0,Dia,5,5,12,9
J2,908,332,85,no_lipo,14,1,0,0,Dia,5,5,9,1
N21,909,333,85,no_lipo,14,2,1.25,0,Dia,5,5,13,20
D4,911,335,85,no_lipo,20,1,1.25,0,Dia,5,5,3,3
