Row,Column,Droplet
0,1,2
0,4,2
0,5,2
0,10,2
0,12,2
0,15,2
0,16,2
0,19,2
0,20,2
0,21,2
0,22,2
1,22,2
1,15,2
1,14,2
1,13,2
1,6,2
1,5,2
1,3,2
1,2,2
1,1,2
2,1,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,9,2
2,10,2
2,13,2
2,14,2
3,21,2
3,20,2
3,18,2
3,14,2
3,13,2
3,12,2
3,11,2
3,10,2
3,9,2
3,8,2
3,7,2
3,6,2
3,4,2
3,1,2
3,0,2
4,0,2
4,2,2
4,4,2
4,5,2
4,7,2
4,8,2
4,10,2
4,11,2
4,16,2
4,20,2
4,21,2
4,22,2
5,22,2
5,20,2
5,15,2
5,12,2
5,11,2
5,9,2
5,7,2
5,6,2
5,4,2
5,0,2
6,6,2
6,7,2
6,9,2
6,11,2
6,13,2
6,14,2
6,15,2
6,17,2
6,18,2
6,19,2
6,21,2
7,22,2
7,21,2
7,20,2
7,19,2
7,18,2
7,12,2
7,10,2
7,8,2
7,7,2
7,6,2
7,5,2
7,4,2
7,0,2
8,4,2
8,6,2
8,8,2
8,9,2
8,13,2
8,16,2
8,18,2
8,20,2
9,19,2
9,18,2
9,17,2
9,15,2
9,14,2
9,13,2
9,10,2
9,9,2
9,7,2
9,5,2
9,1,2
10,0,2
10,2,2
10,3,2
10,5,2
10,8,2
10,11,2
10,15,2
10,16,2
10,17,2
10,18,2
11,20,2
11,19,2
11,18,2
11,8,2
11,5,2
11,0,2
12,0,2
12,2,2
12,4,2
12,5,2
12,6,2
12,7,2
12,10,2
12,12,2
12,14,2
12,15,2
12,17,2
12,18,2
12,21,2
13,21,2
13,20,2
13,19,2
13,17,2
13,15,2
13,14,2
13,13,2
13,12,2
13,11,2
13,9,2
13,7,2
13,6,2
13,4,2
13,2,2
13,1,2
13,0,2
14,2,2
14,3,2
14,4,2
14,5,2
14,7,2
14,9,2
14,11,2
14,13,2
14,15,2
14,16,2
14,20,2
14,21,2
15,21,2
15,20,2
15,19,2
15,15,2
15,12,2
15,10,2
15,9,2
15,8,2
15,7,2
15,5,2
15,4,2
15,1,2
15,0,2
