Row,Column,Droplet
0,0,2
0,2,2
0,3,2
0,4,2
0,6,2
0,7,2
0,8,2
0,11,2
0,12,2
0,13,2
0,14,2
0,16,2
0,20,2
0,21,2
1,22,2
1,20,2
1,19,2
1,18,2
1,17,2
1,15,2
1,14,2
1,11,2
1,6,2
1,5,2
1,4,2
1,2,2
1,0,2
2,0,2
2,3,2
2,4,2
2,6,2
2,8,2
2,9,2
2,11,2
2,13,2
2,16,2
2,17,2
2,18,2
3,22,2
3,21,2
3,15,2
3,14,2
3,11,2
3,10,2
3,9,2
3,6,2
3,5,2
3,4,2
3,3,2
3,2,2
3,0,2
4,0,2
4,2,2
4,3,2
4,9,2
4,13,2
4,17,2
4,18,2
4,19,2
4,21,2
4,22,2
5,22,2
5,20,2
5,18,2
5,17,2
5,13,2
5,12,2
5,10,2
5,9,2
5,8,2
5,7,2
5,4,2
5,2,2
5,0,2
6,0,2
6,1,2
6,3,2
6,4,2
6,6,2
6,8,2
6,9,2
6,10,2
6,11,2
6,15,2
6,17,2
6,19,2
7,21,2
7,17,2
7,15,2
7,13,2
7,11,2
7,10,2
7,6,2
7,5,2
7,2,2
8,3,2
8,4,2
8,8,2
8,9,2
8,10,2
8,11,2
8,13,2
8,15,2
8,19,2
8,20,2
9,21,2
9,19,2
9,17,2
9,16,2
9,15,2
9,13,2
9,12,2
9,10,2
9,8,2
9,7,2
9,6,2
9,4,2
9,3,2
9,1,2
10,0,2
10,1,2
10,3,2
10,4,2
10,9,2
10,10,2
10,13,2
10,15,2
10,16,2
10,17,2
10,18,2
11,21,2
11,19,2
11,15,2
11,14,2
11,12,2
11,6,2
11,1,2
11,0,2
12,2,2
12,6,2
12,7,2
12,8,2
12,10,2
12,11,2
12,12,2
12,14,2
12,17,2
12,20,2
13,19,2
13,18,2
13,17,2
13,14,2
13,12,2
13,10,2
13,8,2
13,7,2
13,5,2
13,4,2
13,2,2
13,1,2
13,0,2
14,2,2
14,3,2
14,6,2
14,10,2
14,11,2
14,12,2
14,14,2
14,16,2
14,17,2
15,19,2
15,17,2
15,13,2
15,9,2
15,7,2
15,6,2
15,5,2
15,3,2
15,2,2
15,0,2
