Row,Column,Droplet
0,0,2
0,5,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,17,2
0,18,2
0,20,2
0,21,2
0,22,2
1,19,2
1,16,2
1,10,2
1,8,2
1,6,2
1,5,2
1,3,2
1,2,2
1,0,2
2,1,2
2,4,2
2,6,2
2,7,2
2,10,2
2,12,2
2,13,2
2,17,2
2,18,2
2,21,2
2,22,2
3,19,2
3,18,2
3,16,2
3,14,2
3,13,2
3,11,2
3,9,2
3,8,2
3,7,2
3,6,2
3,5,2
3,2,2
4,0,2
4,1,2
4,2,2
4,4,2
4,6,2
4,9,2
4,17,2
4,18,2
4,19,2
4,20,2
5,22,2
5,21,2
5,18,2
5,17,2
5,16,2
5,13,2
5,12,2
5,11,2
5,10,2
5,8,2
5,6,2
5,5,2
5,0,2
6,0,2
6,1,2
6,2,2
6,5,2
6,6,2
6,10,2
6,11,2
6,16,2
6,17,2
7,22,2
7,20,2
7,19,2
7,17,2
7,15,2
7,14,2
7,13,2
7,11,2
7,10,2
7,8,2
7,5,2
7,0,2
8,0,2
8,4,2
8,5,2
8,6,2
8,8,2
8,9,2
8,11,2
8,12,2
8,13,2
8,15,2
8,19,2
9,21,2
9,19,2
9,18,2
9,17,2
9,12,2
9,11,2
9,9,2
9,8,2
9,7,2
9,6,2
9,5,2
9,3,2
10,2,2
10,3,2
10,4,2
10,5,2
10,6,2
10,8,2
10,11,2
10,12,2
10,14,2
10,20,2
11,21,2
11,20,2
11,19,2
11,17,2
11,16,2
11,15,2
11,14,2
11,13,2
11,12,2
11,4,2
11,3,2
11,2,2
11,1,2
12,1,2
12,3,2
12,4,2
12,6,2
12,7,2
12,9,2
12,10,2
12,12,2
12,15,2
12,16,2
12,18,2
12,19,2
12,20,2
12,21,2
13,20,2
13,16,2
13,15,2
13,14,2
13,13,2
13,9,2
13,8,2
13,5,2
13,1,2
13,0,2
14,2,2
14,4,2
14,5,2
14,6,2
14,12,2
14,13,2
14,14,2
14,15,2
14,16,2
14,19,2
14,20,2
15,21,2
15,20,2
15,19,2
15,16,2
15,15,2
15,13,2
15,8,2
15,6,2
15,3,2
15,1,2
