Row,Column,Droplet
0,1,2
0,2,2
0,3,2
0,4,2
0,6,2
0,13,2
0,14,2
0,15,2
0,16,2
0,19,2
1,22,2
1,21,2
1,20,2
1,18,2
1,17,2
1,15,2
1,14,2
1,13,2
1,12,2
1,11,2
1,9,2
1,7,2
1,4,2
1,1,2
2,0,2
2,2,2
2,3,2
2,5,2
2,8,2
2,9,2
2,11,2
2,14,2
2,15,2
2,16,2
2,19,2
2,20,2
3,22,2
3,21,2
3,20,2
3,17,2
3,15,2
3,12,2
3,10,2
3,4,2
3,3,2
3,1,2
3,0,2
4,3,2
4,5,2
4,7,2
4,8,2
4,10,2
4,11,2
4,12,2
4,13,2
4,14,2
4,15,2
4,16,2
4,21,2
4,22,2
5,20,2
5,19,2
5,15,2
5,14,2
5,9,2
5,7,2
5,4,2
5,3,2
5,2,2
5,1,2
6,3,2
6,4,2
6,7,2
6,8,2
6,9,2
6,12,2
6,13,2
6,14,2
6,15,2
6,18,2
6,19,2
6,20,2
6,21,2
6,22,2
7,21,2
7,18,2
7,16,2
7,12,2
7,9,2
7,7,2
7,6,2
7,4,2
7,3,2
7,2,2
7,1,2
8,1,2
8,2,2
8,3,2
8,7,2
8,10,2
8,14,2
8,16,2
8,17,2
8,18,2
8,20,2
8,21,2
9,20,2
9,16,2
9,15,2
9,14,2
9,13,2
9,10,2
9,4,2
9,2,2
9,1,2
9,0,2
10,0,2
10,1,2
10,7,2
10,9,2
10,10,2
10,13,2
10,15,2
10,16,2
10,17,2
10,18,2
10,19,2
10,21,2
11,18,2
11,11,2
11,10,2
11,9,2
11,8,2
11,7,2
11,6,2
11,5,2
11,0,2
12,0,2
12,2,2
12,5,2
12,8,2
12,11,2
12,13,2
12,14,2
12,17,2
13,21,2
13,19,2
13,18,2
13,17,2
13,12,2
13,11,2
13,10,2
13,7,2
13,6,2
13,4,2
13,3,2
13,2,2
14,0,2
14,1,2
14,3,2
14,7,2
14,8,2
14,9,2
14,10,2
14,11,2
14,17,2
14,18,2
14,21,2
15,18,2
15,17,2
15,14,2
15,12,2
15,11,2
15,10,2
15,9,2
15,7,2
15,5,2
15,4,2
15,2,2
15,0,2
