Row,Column,Droplet
0,4,6
0,8,6
0,9,6
0,12,6
0,13,6
0,18,6
1,22,6
1,8,6
1,7,6
2,2,6
2,4,6
2,11,6
2,14,6
2,19,6
3,22,6
3,20,6
3,17,6
3,16,6
3,14,6
3,9,6
4,2,6
4,10,6
5,15,6
5,10,6
5,6,6
5,3,6
5,2,6
6,21,6
7,20,6
7,3,6
7,1,6
8,0,6
8,2,6
8,4,6
8,9,6
8,10,6
8,11,6
8,16,6
8,20,6
9,16,6
9,14,6
9,12,6
9,0,6
10,1,6
10,11,6
10,13,6
10,14,6
10,19,6
11,20,6
11,18,6
11,12,6
11,6,6
11,4,6
11,3,6
12,0,6
12,3,6
12,5,6
12,7,6
12,8,6
12,9,6
13,17,6
14,3,6
14,9,6
14,13,6
15,21,6
15,20,6
15,5,6
15,3,6
15,1,6
15,0,6
