Row,Column,Droplet
0,2,6
0,4,6
0,5,6
0,6,6
0,10,6
0,13,6
0,16,6
0,18,6
0,19,6
1,15,6
1,14,6
1,9,6
1,5,6
1,0,6
2,0,6
2,1,6
2,2,6
2,9,6
2,11,6
2,13,6
2,18,6
2,19,6
3,17,6
3,15,6
3,13,6
3,10,6
3,9,6
3,5,6
4,0,6
4,4,6
4,6,6
4,7,6
4,10,6
4,11,6
4,15,6
4,16,6
4,18,6
5,16,6
5,13,6
5,11,6
5,9,6
5,5,6
5,3,6
5,0,6
6,0,6
6,7,6
6,9,6
6,11,6
6,17,6
7,17,6
7,13,6
7,8,6
7,4,6
7,3,6
8,0,6
8,1,6
8,5,6
8,12,6
8,15,6
8,17,6
9,18,6
9,16,6
9,15,6
9,13,6
9,9,6
9,7,6
9,5,6
10,0,6
10,1,6
10,3,6
10,4,6
10,8,6
10,10,6
10,11,6
10,12,6
10,13,6
10,15,6
10,16,6
10,17,6
11,16,6
11,13,6
11,9,6
11,5,6
12,0,6
12,3,6
12,4,6
12,11,6
12,12,6
12,15,6
12,17,6
13,15,6
13,14,6
13,13,6
13,3,6
13,1,6
14,0,6
14,4,6
14,10,6
14,15,6
15,17,6
15,15,6
15,12,6
15,7,6
15,3,6
15,0,6
