Row,Column,Droplet
0,5,2
0,11,4
0,14,4
0,15,4
0,18,2
1,17,2
1,16,4
1,12,2
1,10,4
1,9,2
1,8,2
1,7,4
1,6,4
1,4,4
1,3,4
1,2,4
1,1,2
1,0,2
2,3,2
2,5,4
2,7,4
2,8,4
2,9,2
2,10,2
2,13,2
3,11,2
3,8,2
3,4,4
3,1,4
3,0,2
4,0,2
4,3,2
4,5,2
4,8,4
4,9,4
4,13,4
5,18,2
5,17,2
5,15,4
5,12,2
5,8,4
5,6,4
5,2,4
6,1,2
6,2,2
6,3,4
6,6,2
6,8,2
6,13,4
6,15,4
6,16,4
7,18,2
7,17,2
7,16,4
7,14,4
7,12,4
7,11,4
7,9,4
7,7,4
8,2,4
8,4,4
8,5,2
8,8,4
8,10,4
9,17,4
9,16,2
9,13,2
9,12,4
9,4,2
9,2,4
9,1,4
10,2,4
10,5,4
10,6,4
10,7,4
10,10,2
10,11,2
10,12,2
10,14,4
10,15,2
10,16,2
11,15,4
11,10,4
11,8,4
11,7,2
11,6,2
11,4,4
11,2,4
12,1,4
12,6,2
12,7,2
12,9,4
12,13,2
13,16,2
13,15,2
13,12,4
13,8,4
13,7,4
13,5,4
13,1,2
13,0,4
14,3,2
14,5,4
14,6,4
14,8,4
14,11,4
14,12,4
14,13,4
14,14,2
14,17,4
14,18,2
15,16,4
15,12,2
15,11,2
15,5,2
15,4,4
15,2,2
