well_name,unique_id,rxn_id,DNA_name,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,plate,row,col
H8,19,19,B2AR,8,0.625,185,0,DOPC,5,3,2,7,7
C20,20,20,B2AR,14,0.0,185,0,DOPC,5,3,2,2,19
O6,23,23,B2AR,8,0.625,135,0,DOPC,5,3,2,14,5
G4,24,24,B2AR,20,0.0,185,0,DOPC,5,3,2,6,3
O9,25,25,B2AR,8,0.0,85,0,DMPC,5,3,2,14,8
B14,38,38,CD47,8,0.0,135,0,DMPC,5,3,2,1,13
G18,39,39,CD47,14,0.0,185,0,DOPC,5,3,2,6,17
O5,40,40,CD47,8,0.625,185,0,DMPC,5,3,2,14,4
K5,43,43,CD47,8,0.0,185,1,DMPC,5,3,2,10,4
N17,44,44,CD47,20,0.0,185,0,DOPC,5,3,2,13,16
C5,46,46,CaM,8,0.0,135,0,DMPC,5,3,2,2,4
P20,47,47,CaM,14,0.0,185,2,DMPC,5,3,2,15,19
F20,51,51,CaM,8,0.0,135,1,DMPC,5,3,2,5,19
L15,66,66,Glut,8,0.0,135,2,DOPC,5,3,2,11,14
M5,69,69,Glut,14,0.625,185,0,DMPC,5,3,2,12,4
B8,70,70,Glut,8,0.0,185,0,DMPC,5,3,2,1,7
K9,74,74,InP,8,0.625,85,0,DMPC,5,3,2,10,8
I17,75,75,InP,14,0.0,85,0,DMPC,5,3,2,8,16
I13,78,78,InP,14,0.0,85,1,DMPC,5,3,2,8,12
J16,80,80,InP,8,0.0,85,2,DMPC,5,3,2,9,15
H1,82,82,Mito,20,0.0,185,0,DOPC,5,3,2,7,0
M17,83,83,Mito,8,0.0,185,0,DOPC,5,3,2,12,16
M21,84,84,Mito,20,0.625,185,0,DOPC,5,3,2,12,20
I5,86,86,Mito,14,0.0,185,1,DOPC,5,3,2,8,4
J14,87,87,Mito,8,0.625,185,0,DOPC,5,3,2,9,13
F7,88,88,Mito,8,0.0,185,1,DOPC,5,3,2,5,6
D7,90,90,Mol,8,0.0,135,0,DOPC,5,3,2,3,6
L21,94,94,Mol,8,0.625,135,0,DOPC,5,3,2,11,20
J11,108,108,MtlA,8,0.0,85,2,DMPC,5,3,2,9,10
F5,109,109,MtlA,20,0.0,85,2,DMPC,5,3,2,5,4
F12,116,116,MtlA,20,0.0,135,2,DMPC,5,3,2,5,11
D2,154,154,B2AR,14,0.0,185,0,no_lipo,5,0,2,3,1
A2,155,155,B2AR,8,0.0,135,0,no_lipo,5,0,2,0,1
H9,158,158,B2AR,20,0.0,185,0,no_lipo,5,0,2,7,8
E11,159,159,B2AR,8,0.0,85,0,no_lipo,5,0,2,4,10
P7,169,169,CD47,8,0.0,185,0,no_lipo,5,0,2,15,6
E2,174,174,CD47,8,0.0,185,1,no_lipo,5,0,2,4,1
M22,177,177,CaM,8,0.0,135,0,no_lipo,5,0,2,12,21
P18,179,179,CaM,8,0.625,185,0,no_lipo,5,0,2,15,17
P15,180,180,CaM,8,0.625,135,0,no_lipo,5,0,2,15,14
B1,182,182,CaM,14,0.0,185,0,no_lipo,5,0,2,1,0
J6,193,193,Glut,20,0.0,135,2,no_lipo,5,0,2,9,5
C19,194,194,Glut,14,0.0,135,2,no_lipo,5,0,2,2,18
A1,195,195,Glut,8,0.0,185,0,no_lipo,5,0,2,0,0
B3,197,197,Glut,8,0.625,185,0,no_lipo,5,0,2,1,2
O3,199,199,Glut,14,0.625,185,0,no_lipo,5,0,2,14,2
H12,200,200,Glut,8,0.0,85,2,no_lipo,5,0,2,7,11
K10,206,206,InP,8,0.0,135,0,no_lipo,5,0,2,10,9
A5,207,207,InP,14,0.0,85,1,no_lipo,5,0,2,0,4
P12,208,208,InP,8,0.625,85,1,no_lipo,5,0,2,15,11
F9,210,210,Mito,14,0.0,185,0,no_lipo,5,0,2,5,8
M20,211,211,Mito,20,0.0,185,0,no_lipo,5,0,2,12,19
A3,212,212,Mito,8,0.0,185,0,no_lipo,5,0,2,0,2
N16,213,213,Mito,20,0.625,185,0,no_lipo,5,0,2,13,15
F22,214,214,Mito,14,0.625,185,0,no_lipo,5,0,2,5,21
G3,219,219,Mol,8,0.0,135,0,no_lipo,5,0,2,6,2
E16,221,221,Mol,8,0.0,85,0,no_lipo,5,0,2,4,15
A14,222,222,Mol,8,0.625,185,0,no_lipo,5,0,2,0,13
C10,224,224,Mol,8,0.0,135,1,no_lipo,5,0,2,2,9
K11,226,226,Mol,8,0.625,85,0,no_lipo,5,0,2,10,10
D18,237,237,MtlA,8,0.0,85,2,no_lipo,5,0,2,3,17
B16,238,238,MtlA,20,0.0,85,2,no_lipo,5,0,2,1,15
L2,239,239,MtlA,8,0.0,135,2,no_lipo,5,0,2,11,1
B17,240,240,MtlA,14,0.0,85,2,no_lipo,5,0,2,1,16
N18,241,241,MtlA,8,0.0,85,1,no_lipo,5,0,2,13,17
H16,243,243,MtlA,20,0.625,85,2,no_lipo,5,0,2,7,15
D14,244,244,MtlA,14,0.0,185,2,no_lipo,5,0,2,3,13
N19,282,19,B2AR,8,0.625,185,0,DOPC,5,3,2,13,18
H11,283,20,B2AR,14,0.0,185,0,DOPC,5,3,2,7,10
K21,285,22,B2AR,14,0.625,185,0,DOPC,5,3,2,10,20
E19,286,23,B2AR,8,0.625,135,0,DOPC,5,3,2,4,18
N3,288,25,B2AR,8,0.0,85,0,DMPC,5,3,2,13,2
H2,289,26,B2AR,8,0.0,85,0,DOPC,5,3,2,7,1
D20,299,36,CD47,8,0.0,185,0,DMPC,5,3,2,3,19
P2,301,38,CD47,8,0.0,135,0,DMPC,5,3,2,15,1
A7,303,40,CD47,8,0.625,185,0,DMPC,5,3,2,0,6
N11,307,44,CD47,20,0.0,185,0,DOPC,5,3,2,13,10
N15,310,47,CaM,14,0.0,185,2,DMPC,5,3,2,13,14
L13,312,49,CaM,8,0.625,135,0,DMPC,5,3,2,11,12
