Row,Column,Droplet
0,0,1
0,2,2
0,3,1
0,4,1
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,13,2
0,14,2
0,15,1
0,16,1
0,18,2
0,19,2
1,17,2
1,16,1
1,15,2
1,14,2
1,13,2
1,12,2
1,11,2
1,10,1
1,9,1
1,8,2
1,7,1
1,6,1
1,5,1
1,4,2
1,3,2
1,2,2
1,1,2
1,0,2
2,0,1
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,1
2,14,1
2,16,2
2,17,2
2,18,2
3,18,2
3,17,2
3,16,1
3,15,2
3,14,2
3,13,2
3,12,2
3,11,2
3,10,2
3,9,2
3,8,2
3,7,2
3,6,1
3,5,2
3,4,2
3,3,2
3,2,2
3,1,1
3,0,1
4,0,2
4,1,2
4,2,2
4,3,2
4,4,2
4,5,1
4,6,2
4,7,2
4,8,2
4,9,1
4,10,2
4,11,2
4,12,2
4,13,2
4,15,2
4,16,1
4,17,2
4,18,2
5,18,2
5,17,2
5,16,2
5,15,2
5,14,1
5,13,1
5,12,2
5,11,2
5,9,2
5,8,2
5,7,2
5,6,1
5,5,1
5,4,2
5,2,1
5,1,2
6,1,1
6,2,2
6,3,2
6,4,2
6,5,2
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
6,12,1
6,13,2
6,14,1
6,15,2
6,16,2
6,17,2
6,18,2
7,18,2
7,17,2
7,16,2
7,15,2
7,14,2
7,13,1
7,12,2
7,11,2
7,10,2
7,9,2
7,8,2
7,7,2
7,6,2
7,5,1
7,3,2
7,2,2
7,1,2
7,0,2
8,1,1
8,2,1
8,3,1
8,4,2
8,5,1
8,6,1
8,7,2
8,8,2
8,10,2
8,11,1
8,12,1
8,13,1
8,14,2
8,15,2
8,16,2
8,17,2
8,18,2
9,18,2
9,17,2
9,16,2
9,15,1
9,14,2
9,13,2
9,12,2
9,11,2
9,10,2
9,9,2
9,8,2
9,6,2
9,5,2
9,4,2
9,3,1
9,2,2
9,1,2
9,0,1
10,0,2
10,1,2
10,2,2
10,3,1
10,4,2
10,5,2
10,6,1
10,8,1
10,9,1
10,10,2
10,11,2
10,12,2
10,13,2
10,14,2
10,15,2
10,16,2
10,17,2
10,18,2
11,18,2
11,17,2
11,16,1
11,15,2
11,14,1
11,13,1
11,12,1
11,11,2
11,10,1
11,9,2
11,8,1
11,7,1
11,6,2
11,5,2
11,4,2
11,3,2
11,2,1
11,1,2
11,0,2
12,0,2
12,1,2
12,3,2
12,4,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
12,10,2
12,11,1
12,12,2
12,13,2
12,15,2
12,17,2
12,18,2
13,17,2
13,16,2
13,13,1
13,12,2
13,11,2
13,10,1
13,8,2
13,7,1
13,5,1
13,4,1
13,3,1
13,2,1
13,0,2
14,0,2
14,1,1
14,2,2
14,3,1
14,4,2
14,5,1
14,6,2
14,7,2
14,8,2
14,9,1
14,10,1
14,11,1
14,12,2
14,13,2
14,14,2
14,15,2
14,16,1
14,17,2
14,18,2
15,18,2
15,17,1
15,16,2
15,15,2
15,14,2
15,13,2
15,12,2
15,11,2
15,10,1
15,9,1
15,8,2
15,7,2
15,6,2
15,5,1
15,4,2
15,3,1
15,2,2
15,1,2
15,0,1
