well_name,deGFP,K,Mg,PEG,combo
A1,5,185,8,2,BL62
A2,5,185,12,2,BL62
A3,5,185,12,0,BL62
A4,5,85,16,0,BL62
A5,5,185,8,2,BL63
A6,5,185,12,2,BL63
A7,5,185,12,0,BL63
A8,5,85,16,0,BL63
B1,5,85,10,2,BL62
B2,5,185,14,2,BL62
B3,5,85,12,2,BL62
B4,5,185,12,2,BL62
B5,5,85,10,2,BL63
B6,5,185,14,2,BL63
B7,5,85,12,2,BL63
B8,5,185,12,2,BL63
C1,5,185,16,0,BL62
C2,5,185,14,2,BL62
C3,5,85,10,2,BL62
C4,5,185,10,0,BL62
C5,5,185,16,0,BL63
C6,5,185,14,2,BL63
C7,5,85,10,2,BL63
C8,5,185,10,0,BL63
D1,5,85,14,2,BL62
D2,5,85,8,0,BL62
D3,5,85,12,0,BL62
D4,5,185,16,0,BL62
D5,5,85,14,2,BL63
D6,5,85,8,0,BL63
D7,5,85,12,0,BL63
D8,5,185,16,0,BL63
E1,5,85,8,2,BL62
E2,5,185,12,0,BL62
E3,5,185,8,2,BL62
E4,5,85,16,2,BL62
E5,5,85,8,2,BL63
E6,5,185,12,0,BL63
E7,5,185,8,2,BL63
E8,5,85,16,2,BL63
F1,5,85,14,2,BL62
F2,5,185,8,0,BL62
F3,5,185,8,2,BL62
F4,5,85,12,2,BL62
F5,5,85,14,2,BL63
F6,5,185,8,0,BL63
F7,5,185,8,2,BL63
F8,5,85,12,2,BL63
G1,5,185,14,0,BL62
G2,5,85,16,0,BL62
G3,5,185,10,2,BL62
G4,5,85,16,0,BL62
G5,5,185,14,0,BL63
G6,5,85,16,0,BL63
G7,5,185,10,2,BL63
G8,5,85,16,0,BL63
H1,5,85,10,0,BL62
H2,5,85,12,0,BL62
H3,5,85,12,0,BL62
H4,5,185,16,2,BL62
H5,5,85,10,0,BL63
H6,5,85,12,0,BL63
H7,5,85,12,0,BL63
H8,5,185,16,2,BL63
I1,5,85,10,2,BL62
I2,5,85,8,2,BL62
I3,5,85,8,2,BL62
I4,5,85,8,0,BL62
I5,5,85,10,2,BL63
I6,5,85,8,2,BL63
I7,5,85,8,2,BL63
I8,5,85,8,0,BL63
J1,5,85,14,0,BL62
J2,5,85,10,0,BL62
J3,5,185,10,2,BL62
J4,5,85,12,2,BL62
J5,5,85,14,0,BL63
J6,5,85,10,0,BL63
J7,5,185,10,2,BL63
J8,5,85,12,2,BL63
K1,5,185,12,2,BL62
K2,5,185,8,0,BL62
K3,5,85,14,0,BL62
K4,5,185,14,0,BL62
K5,5,185,12,2,BL63
K6,5,185,8,0,BL63
K7,5,85,14,0,BL63
K8,5,185,14,0,BL63
L1,5,185,16,2,BL62
L2,5,85,10,0,BL62
L3,5,185,16,0,BL62
L4,5,85,16,2,BL62
L5,5,185,16,2,BL63
L6,5,85,10,0,BL63
L7,5,185,16,0,BL63
L8,5,85,16,2,BL63
M1,5,85,8,0,BL62
M2,5,185,12,0,BL62
M3,5,185,8,0,BL62
M5,5,85,8,0,BL63
M6,5,185,12,0,BL63
M7,5,185,8,0,BL63
N1,5,185,14,2,BL62
N2,5,185,10,0,BL62
N3,5,185,10,0,BL62
N5,5,185,14,2,BL63
N6,5,185,10,0,BL63
N7,5,185,10,0,BL63
O1,5,85,14,2,BL62
O2,5,185,10,2,BL62
O3,5,185,14,0,BL62
O5,5,85,14,2,BL63
O6,5,185,10,2,BL63
O7,5,185,14,0,BL63
P1,5,85,14,0,BL62
P2,5,85,16,2,BL62
P3,5,185,16,2,BL62
P5,5,85,14,0,BL63
P6,5,85,16,2,BL63
P7,5,185,16,2,BL63
