Row,Column,Droplet
0,1,4
0,4,2
0,6,2
0,7,4
0,8,4
0,12,2
0,15,4
1,19,2
1,16,2
1,11,4
1,5,4
1,3,2
1,1,2
1,0,4
2,1,2
2,2,2
2,7,2
2,10,4
2,15,4
2,19,4
3,21,2
3,19,2
3,18,2
3,16,4
3,10,2
3,8,2
3,5,2
3,1,4
3,0,2
4,3,2
4,10,4
4,11,2
4,13,4
4,14,4
5,22,2
5,13,4
5,10,2
5,2,2
5,0,4
6,0,4
6,2,2
6,7,4
6,10,4
6,14,4
6,15,4
7,18,4
7,16,2
7,12,4
7,10,4
8,8,4
8,9,4
8,10,4
8,12,2
8,19,2
8,23,4
9,21,4
9,16,2
9,15,2
9,14,2
9,12,2
9,11,4
9,0,4
10,1,4
10,5,4
10,10,2
10,11,4
10,12,4
10,21,4
10,22,4
10,23,4
11,23,2
11,20,4
11,12,4
11,3,2
12,0,2
12,2,2
12,7,4
12,19,2
12,22,4
12,23,4
13,22,2
13,17,2
13,15,2
13,14,2
13,13,4
13,10,4
13,9,2
13,6,4
14,3,2
14,20,4
14,23,4
15,18,2
15,8,4
15,7,2
15,6,2
15,0,2
