Row,Column,Droplet
0,3,4
0,7,4
0,8,4
0,9,4
0,18,4
1,20,4
1,6,4
1,2,4
2,4,4
2,8,4
2,10,4
2,12,4
2,19,4
3,15,4
3,8,4
3,3,4
4,0,4
4,3,4
4,4,4
4,7,4
4,16,4
4,22,4
4,23,4
5,23,4
5,22,4
5,21,4
5,20,4
5,18,4
5,17,4
5,11,4
5,4,4
5,0,4
6,0,4
6,1,4
6,10,4
6,13,4
6,21,4
6,22,4
6,23,4
7,20,4
7,19,4
7,17,4
7,15,4
7,14,4
7,13,4
7,5,4
7,4,4
7,1,4
8,11,4
8,12,4
8,13,4
8,21,4
8,22,4
9,23,4
9,19,4
9,13,4
9,12,4
9,10,4
9,3,4
10,3,4
10,15,4
10,21,4
10,22,4
11,15,4
11,9,4
11,8,4
11,7,4
12,1,4
12,13,4
12,14,4
12,23,4
13,20,4
13,18,4
13,16,4
13,12,4
13,1,4
14,6,4
14,8,4
14,10,4
14,17,4
14,23,4
15,20,4
15,17,4
15,15,4
15,13,4
15,10,4
15,6,4
15,5,4
15,2,4
