well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,WCE,Supp
A1,1,CD47,5.0,285.0,DMPC,3.0,20.0,BL63,S23
A10,1,B2AR,5.0,285.0,DMPC+32%Chol,3.0,8.0,BL63,S23
A11,1,B2AR,2.5,85.0,DMPC+8%Chol,3.0,20.0,BL63,S23
A12,1,B2AR,2.5,85.0,DMPC+8%Chol,3.0,20.0,BL63,S23
A13,1,InP,2.5,285.0,no_lipo,0.0,8.0,BL63,S23
A14,1,B2AR,5.0,85.0,DMPC+8%Chol,3.0,20.0,BL63,S23
A15,1,B2AR,5.0,285.0,DMPC,3.0,8.0,BL63,S23
A16,1,InP,5.0,185.0,no_lipo,0.0,20.0,BL63,S23
A17,1,CD47,5.0,85.0,DMPC,3.0,20.0,BL63,S23
A18,1,B2AR,5.0,185.0,no_lipo,0.0,20.0,BL63,S23
A19,1,CD47,5.0,285.0,DMPC+32%Chol,3.0,20.0,BL63,S23
A2,1,InP,5.0,85.0,no_lipo,0.0,8.0,BL63,S23
A20,1,CD47,2.5,285.0,DMPC,3.0,20.0,BL63,S23
A21,1,CD47,5.0,185.0,DMPC,3.0,20.0,BL63,S23
A22,1,CD47,2.5,185.0,no_lipo,0.0,20.0,BL63,S23
A23,1,B2AR,2.5,285.0,DMPC,3.0,20.0,BL63,S23
A24,1,B2AR,2.5,85.0,DMPC+8%Chol,3.0,20.0,BL63,S23
A3,1,CD47,2.5,285.0,DMPC+8%Chol,3.0,8.0,BL63,S23
A4,1,B2AR,5.0,285.0,DMPC+32%Chol,3.0,20.0,BL63,S23
A5,1,InP,2.5,285.0,no_lipo,0.0,8.0,BL63,S23
A6,1,B2AR,2.5,85.0,no_lipo,0.0,20.0,BL63,S23
A7,1,InP,2.5,185.0,DMPC,3.0,8.0,BL63,S23
A8,1,InP,5.0,85.0,DMPC+32%Chol,3.0,8.0,BL63,S23
A9,1,InP,5.0,285.0,DMPC+32%Chol,3.0,8.0,BL63,S23
B1,1,InP,5.0,185.0,no_lipo,0.0,20.0,BL63,S23
B10,1,CaM,5.0,185.0,DMPC,3.0,8.0,BL63,S23
B11,1,CD47,5.0,85.0,no_lipo,0.0,20.0,BL63,S23
B12,1,InP,5.0,85.0,no_lipo,0.0,8.0,BL63,S23
