Row,Column,Droplet
0,5,2
0,9,4
0,10,2
0,11,2
0,13,4
0,14,4
0,18,2
1,20,4
1,14,4
1,9,4
1,6,4
1,2,2
2,5,4
2,13,2
2,22,2
3,17,2
3,15,4
3,13,2
3,12,2
3,7,4
3,3,2
3,2,4
4,7,2
4,15,2
4,17,4
4,18,4
4,19,4
5,20,4
5,18,4
5,16,2
5,14,2
5,9,4
5,6,4
5,3,4
6,4,4
6,6,2
6,9,4
6,13,4
6,16,2
6,19,2
6,20,4
6,21,4
6,23,4
7,21,4
7,20,4
7,11,4
7,8,4
7,5,4
7,4,4
7,3,2
7,0,2
8,2,4
8,6,4
8,7,4
9,22,4
9,20,2
9,19,2
9,18,4
9,17,2
9,13,4
9,9,2
9,5,2
9,1,2
10,0,4
10,3,2
10,18,2
11,19,2
11,17,2
11,10,4
11,0,2
12,1,2
12,3,2
12,5,4
12,6,2
12,8,4
12,10,2
12,13,4
12,15,4
12,20,2
13,19,4
13,8,4
13,7,4
13,4,4
14,0,4
14,5,4
14,8,4
14,14,4
14,21,4
14,22,2
15,22,2
15,21,2
15,16,2
15,14,2
15,13,4
15,2,2
15,1,4
