Row,Column,Droplet
0,0,4
0,2,2
0,16,4
0,18,4
0,19,2
0,20,4
0,21,2
1,22,4
1,15,2
1,13,4
1,10,4
1,8,4
2,3,4
2,5,2
2,6,2
2,9,2
2,11,4
2,14,2
2,20,4
2,21,2
3,23,4
3,20,4
3,17,4
3,14,4
3,13,4
3,12,4
3,7,2
3,6,2
3,2,2
4,0,2
4,4,4
4,15,4
4,18,2
4,21,2
5,20,2
5,16,4
5,9,2
5,4,4
6,4,2
6,5,4
6,17,2
6,20,2
6,21,2
6,22,2
7,23,2
7,22,2
7,21,2
7,19,4
7,17,4
7,15,4
7,9,4
7,7,2
7,0,4
8,4,4
8,7,2
8,15,2
8,17,4
8,20,4
8,22,2
9,9,4
9,4,2
9,2,4
9,1,4
10,4,4
10,9,4
10,13,2
10,16,2
10,18,4
10,19,4
11,21,4
11,19,4
11,13,2
11,11,4
11,4,2
11,2,4
11,1,4
12,1,4
12,10,4
12,11,4
12,12,4
12,13,2
12,16,2
12,17,2
12,21,2
13,20,2
13,19,2
13,18,4
14,4,2
14,8,2
14,9,2
14,15,2
14,18,4
14,19,2
14,21,2
15,15,4
15,11,2
