Row,Column,Droplet
0,1,4
0,3,4
0,14,4
0,15,4
1,23,2
1,18,4
1,17,2
1,12,2
1,9,4
1,6,4
1,4,2
1,3,2
2,0,4
2,2,2
2,7,2
2,8,2
2,12,2
2,16,2
2,18,4
2,23,4
3,22,4
3,21,2
3,16,4
3,15,4
3,9,2
3,4,2
3,0,2
4,5,2
4,6,4
4,8,4
4,9,4
4,10,4
4,13,4
4,17,4
4,19,4
4,23,2
5,21,4
5,19,4
5,17,4
5,12,2
5,6,4
5,5,2
5,2,2
5,1,2
6,1,4
6,14,4
6,15,4
6,18,4
7,20,4
7,11,4
7,10,4
7,4,4
8,3,2
8,5,4
8,6,4
8,11,2
8,14,2
8,16,4
8,18,2
9,13,4
9,7,2
9,6,4
9,3,4
10,0,4
10,7,4
10,8,4
10,14,2
10,17,4
11,22,2
11,20,4
11,15,2
11,9,2
11,8,2
11,6,2
12,8,4
12,14,2
13,23,4
13,22,2
13,16,4
13,12,2
13,7,4
13,4,4
13,1,2
14,1,2
14,7,2
14,12,2
14,13,4
14,14,4
14,16,2
14,17,2
14,20,4
15,23,2
15,19,4
15,17,4
15,9,2
15,5,4
