Row,Column,Droplet
0,1,3
0,2,6
0,4,6
0,9,6
0,11,6
0,12,3
0,13,3
0,15,6
0,16,3
0,17,3
0,18,3
0,21,3
0,22,6
0,23,6
1,22,6
1,21,3
1,20,3
1,18,3
1,15,3
1,14,6
1,13,3
1,8,3
1,7,3
1,6,3
1,5,6
1,4,6
1,3,6
1,2,6
1,1,6
2,0,6
2,1,6
2,2,3
2,5,3
2,7,6
2,11,3
2,13,6
2,14,6
2,15,3
2,16,6
2,17,3
2,18,3
2,22,6
2,23,3
3,23,3
3,21,3
3,20,3
3,18,3
3,17,6
3,16,6
3,13,6
3,12,6
3,11,3
3,7,3
3,5,6
3,4,3
3,3,6
3,1,3
3,0,3
4,1,6
4,2,6
4,3,3
4,4,3
4,6,6
4,7,3
4,8,6
4,9,6
4,10,6
4,12,6
4,13,6
4,15,6
4,16,6
4,17,3
4,18,3
4,19,3
4,20,6
4,22,6
5,23,3
5,22,3
5,21,3
5,20,6
5,18,3
5,17,3
5,15,3
5,12,3
5,11,6
5,10,3
5,9,6
5,8,6
5,7,6
5,6,3
5,5,3
5,4,3
5,3,3
5,2,3
5,1,3
6,0,6
6,1,3
6,2,3
6,3,3
6,5,3
6,6,6
6,7,3
6,8,3
6,9,6
6,11,6
6,12,6
6,13,6
6,14,6
6,15,6
6,17,3
6,18,6
6,19,3
6,20,3
6,21,3
6,22,6
6,23,6
7,23,6
7,22,6
7,18,6
7,17,3
7,16,3
7,15,3
7,14,3
7,13,6
7,12,6
7,10,6
7,9,3
7,8,6
7,6,6
7,5,6
7,4,3
7,2,3
7,1,3
8,0,6
8,1,3
8,2,6
8,3,6
8,6,3
8,7,3
8,8,6
8,9,6
8,11,6
8,12,6
8,13,3
8,15,6
8,16,3
8,18,6
9,23,6
9,22,6
9,21,3
9,18,6
9,17,3
9,11,6
9,7,6
9,6,6
9,4,6
9,3,6
9,2,3
9,1,6
9,0,6
10,1,3
10,2,6
10,5,3
10,6,3
10,7,3
10,8,6
10,9,6
10,10,3
10,11,6
10,12,6
10,13,6
10,15,6
10,16,3
10,17,6
10,18,6
10,20,3
10,21,3
10,22,6
10,23,3
11,23,6
11,22,3
11,21,6
11,20,6
11,19,6
11,17,6
11,14,6
11,13,6
11,8,6
11,7,6
11,4,6
11,2,6
11,1,3
12,1,6
12,3,6
12,5,3
12,6,3
12,9,6
12,10,3
12,11,3
12,14,6
12,15,6
12,16,3
12,17,6
12,18,3
12,21,3
12,23,3
13,23,3
13,22,6
13,21,6
13,20,6
13,18,3
13,17,3
13,16,6
13,14,6
13,13,3
13,11,3
13,9,6
13,8,3
13,2,6
13,1,3
13,0,3
14,0,6
14,1,3
14,2,6
14,3,3
14,4,6
14,5,3
14,6,6
14,7,3
14,8,6
14,9,6
14,12,3
14,13,6
14,15,6
14,20,6
14,21,3
14,22,3
14,23,6
15,23,6
15,22,6
15,20,3
15,19,3
15,18,6
15,16,6
15,15,6
15,14,3
15,13,6
15,12,3
15,11,3
15,9,3
15,8,3
15,6,6
15,5,3
15,4,6
15,2,3
15,0,3
