Row,Column,Droplet
0,3,4
0,9,4
0,11,4
0,18,4
1,23,4
1,20,4
1,19,4
1,11,4
1,10,4
1,9,4
1,8,4
1,5,4
1,4,4
1,0,4
2,1,4
2,5,4
2,11,4
2,13,4
2,14,4
2,15,4
2,16,4
2,19,4
2,21,4
2,22,4
3,21,4
3,15,4
3,14,4
3,13,4
3,11,4
3,10,4
3,9,4
4,13,4
4,14,4
4,18,4
4,19,4
4,23,4
5,17,4
5,16,4
5,7,4
5,5,4
6,1,4
6,4,4
6,12,4
6,17,4
6,18,4
6,20,4
7,21,4
7,19,4
7,18,4
7,14,4
7,10,4
8,0,4
8,2,4
8,4,4
8,14,4
8,20,4
9,23,4
9,14,4
9,12,4
9,10,4
9,4,4
10,3,4
10,4,4
10,6,4
10,12,4
10,17,4
10,19,4
11,22,4
11,19,4
11,18,4
11,8,4
11,7,4
11,3,4
11,1,4
11,0,4
12,11,4
12,17,4
12,21,4
12,23,4
13,20,4
13,18,4
13,17,4
13,16,4
13,14,4
13,1,4
13,0,4
14,3,4
14,5,4
14,6,4
14,8,4
14,9,4
14,13,4
14,14,4
15,23,4
15,13,4
15,10,4
15,8,4
15,5,4
15,2,4
15,1,4
