Row,Column,Droplet
0,0,4
0,1,4
0,4,4
0,5,4
0,8,4
0,9,4
0,12,4
0,13,4
1,15,4
1,14,4
1,13,4
1,12,4
1,11,4
1,10,4
1,9,4
1,8,4
1,7,4
1,6,4
1,5,4
1,4,4
1,3,4
1,2,4
1,1,4
1,0,4
2,1,4
2,2,4
2,5,4
2,6,4
2,9,4
2,10,4
2,13,4
2,14,4
3,12,4
3,8,4
3,4,4
3,0,4
4,0,4
4,2,4
4,3,4
4,4,4
4,6,4
4,7,4
4,8,4
4,10,4
4,11,4
4,12,4
4,14,4
4,15,4
5,15,4
5,14,4
5,12,4
5,11,4
5,10,4
5,8,4
5,7,4
5,6,4
5,4,4
5,3,4
5,2,4
5,0,4
6,2,4
6,6,4
6,10,4
6,14,4
7,15,4
7,11,4
7,7,4
7,3,4
8,0,4
8,1,4
8,2,4
8,4,4
8,5,4
8,6,4
8,8,4
8,9,4
8,10,4
8,12,4
8,13,4
8,14,4
9,15,4
9,14,4
9,11,4
9,10,4
9,7,4
9,6,4
9,3,4
9,2,4
10,0,4
10,4,4
10,8,4
10,12,4
11,15,4
11,12,4
11,11,4
11,8,4
11,7,4
11,4,4
11,3,4
11,0,4
13,12,4
13,8,4
13,4,4
13,0,4
14,0,4
14,1,4
14,4,4
14,5,4
14,8,4
14,9,4
14,12,4
14,13,4
15,14,4
15,13,4
15,10,4
15,9,4
15,6,4
15,5,4
15,2,4
15,1,4
