well_name,deGFP,K,Mg,PEG,WCE,Supp
A1,5,185,8,2,BL62,S23
A10,5,185,12,2,BL62,S24
A11,5,185,12,0,BL62,S24
A12,5,85,16,0,BL62,S24
A13,5,185,8,2,BL64,S24
A14,5,185,12,2,BL64,S24
A15,5,185,12,0,BL64,S24
A16,5,85,16,0,BL64,S24
A2,5,185,12,2,BL62,S23
A3,5,185,12,0,BL62,S23
A4,5,85,16,0,BL62,S23
A5,5,185,8,2,BL64,S23
A6,5,185,12,2,BL64,S23
A7,5,185,12,0,BL64,S23
A8,5,85,16,0,BL64,S23
A9,5,185,8,2,BL62,S24
B1,5,85,10,2,BL62,S23
B10,5,185,14,2,BL62,S24
B11,5,85,12,2,BL62,S24
B12,5,185,12,2,BL62,S24
B13,5,85,10,2,BL64,S24
B14,5,185,14,2,BL64,S24
B15,5,85,12,2,BL64,S24
B16,5,185,12,2,BL64,S24
B2,5,185,14,2,BL62,S23
B3,5,85,12,2,BL62,S23
B4,5,185,12,2,BL62,S23
B5,5,85,10,2,BL64,S23
B6,5,185,14,2,BL64,S23
B7,5,85,12,2,BL64,S23
B8,5,185,12,2,BL64,S23
B9,5,85,10,2,BL62,S24
C1,5,185,16,0,BL62,S23
C10,5,185,14,2,BL62,S24
C11,5,85,10,2,BL62,S24
C12,5,185,10,0,BL62,S24
C13,5,185,16,0,BL64,S24
C14,5,185,14,2,BL64,S24
C15,5,85,10,2,BL64,S24
C16,5,185,10,0,BL64,S24
C2,5,185,14,2,BL62,S23
C3,5,85,10,2,BL62,S23
C4,5,185,10,0,BL62,S23
C5,5,185,16,0,BL64,S23
C6,5,185,14,2,BL64,S23
C7,5,85,10,2,BL64,S23
C8,5,185,10,0,BL64,S23
C9,5,185,16,0,BL62,S24
D1,5,85,14,2,BL62,S23
D10,5,85,8,0,BL62,S24
D11,5,85,12,0,BL62,S24
D12,5,185,16,0,BL62,S24
D13,5,85,14,2,BL64,S24
D14,5,85,8,0,BL64,S24
D15,5,85,12,0,BL64,S24
D16,5,185,16,0,BL64,S24
D2,5,85,8,0,BL62,S23
D3,5,85,12,0,BL62,S23
D4,5,185,16,0,BL62,S23
D5,5,85,14,2,BL64,S23
D6,5,85,8,0,BL64,S23
D7,5,85,12,0,BL64,S23
D8,5,185,16,0,BL64,S23
D9,5,85,14,2,BL62,S24
E1,5,85,8,2,BL62,S23
E10,5,185,12,0,BL62,S24
E11,5,185,8,2,BL62,S24
E12,5,85,16,2,BL62,S24
E13,5,85,8,2,BL64,S24
E14,5,185,12,0,BL64,S24
E15,5,185,8,2,BL64,S24
E16,5,85,16,2,BL64,S24
E2,5,185,12,0,BL62,S23
E3,5,185,8,2,BL62,S23
E4,5,85,16,2,BL62,S23
E5,5,85,8,2,BL64,S23
E6,5,185,12,0,BL64,S23
E7,5,185,8,2,BL64,S23
E8,5,85,16,2,BL64,S23
E9,5,85,8,2,BL62,S24
F1,5,85,14,2,BL62,S23
F10,5,185,8,0,BL62,S24
F11,5,185,8,2,BL62,S24
F12,5,85,12,2,BL62,S24
F13,5,85,14,2,BL64,S24
F14,5,185,8,0,BL64,S24
F15,5,185,8,2,BL64,S24
F16,5,85,12,2,BL64,S24
F2,5,185,8,0,BL62,S23
F3,5,185,8,2,BL62,S23
F4,5,85,12,2,BL62,S23
F5,5,85,14,2,BL64,S23
F6,5,185,8,0,BL64,S23
F7,5,185,8,2,BL64,S23
F8,5,85,12,2,BL64,S23
F9,5,85,14,2,BL62,S24
G1,5,185,14,0,BL62,S23
G10,5,85,16,0,BL62,S24
G11,5,185,10,2,BL62,S24
G12,5,85,16,0,BL62,S24
G13,5,185,14,0,BL64,S24
G14,5,85,16,0,BL64,S24
G15,5,185,10,2,BL64,S24
G16,5,85,16,0,BL64,S24
G2,5,85,16,0,BL62,S23
G3,5,185,10,2,BL62,S23
G4,5,85,16,0,BL62,S23
G5,5,185,14,0,BL64,S23
G6,5,85,16,0,BL64,S23
G7,5,185,10,2,BL64,S23
G8,5,85,16,0,BL64,S23
G9,5,185,14,0,BL62,S24
H1,5,85,10,0,BL62,S23
H10,5,85,12,0,BL62,S24
H11,5,85,12,0,BL62,S24
H12,5,185,16,2,BL62,S24
H13,5,85,10,0,BL64,S24
H14,5,85,12,0,BL64,S24
H15,5,85,12,0,BL64,S24
H16,5,185,16,2,BL64,S24
H2,5,85,12,0,BL62,S23
H3,5,85,12,0,BL62,S23
H4,5,185,16,2,BL62,S23
H5,5,85,10,0,BL64,S23
H6,5,85,12,0,BL64,S23
H7,5,85,12,0,BL64,S23
H8,5,185,16,2,BL64,S23
H9,5,85,10,0,BL62,S24
I1,5,85,10,2,BL62,S23
I10,5,85,8,2,BL62,S24
I11,5,85,8,2,BL62,S24
I12,5,85,8,0,BL62,S24
I13,5,85,10,2,BL64,S24
I14,5,85,8,2,BL64,S24
I15,5,85,8,2,BL64,S24
I16,5,85,8,0,BL64,S24
I2,5,85,8,2,BL62,S23
I3,5,85,8,2,BL62,S23
I4,5,85,8,0,BL62,S23
I5,5,85,10,2,BL64,S23
I6,5,85,8,2,BL64,S23
I7,5,85,8,2,BL64,S23
I8,5,85,8,0,BL64,S23
I9,5,85,10,2,BL62,S24
J1,5,85,14,0,BL62,S23
J10,5,85,10,0,BL62,S24
J11,5,185,10,2,BL62,S24
J12,5,85,12,2,BL62,S24
J13,5,85,14,0,BL64,S24
J14,5,85,10,0,BL64,S24
J15,5,185,10,2,BL64,S24
J16,5,85,12,2,BL64,S24
J2,5,85,10,0,BL62,S23
J3,5,185,10,2,BL62,S23
J4,5,85,12,2,BL62,S23
J5,5,85,14,0,BL64,S23
J6,5,85,10,0,BL64,S23
J7,5,185,10,2,BL64,S23
J8,5,85,12,2,BL64,S23
J9,5,85,14,0,BL62,S24
K1,5,185,12,2,BL62,S23
K10,5,185,8,0,BL62,S24
K11,5,85,14,0,BL62,S24
