Row,Column,Droplet
0,1,4
0,5,4
0,14,4
0,17,4
0,23,4
1,15,4
1,13,4
1,9,4
1,1,4
2,9,4
2,10,4
2,17,4
2,18,4
2,21,4
3,22,4
3,21,4
3,15,4
3,13,4
3,11,4
3,8,4
4,1,4
4,5,4
4,8,4
5,20,4
5,13,4
5,10,4
5,5,4
6,0,4
6,6,4
6,10,4
6,13,4
6,15,4
6,18,4
6,20,4
7,19,4
7,18,4
7,11,4
7,2,4
7,1,4
8,5,4
9,17,4
9,10,4
10,2,4
10,9,4
10,14,4
10,15,4
10,20,4
11,19,4
11,17,4
11,16,4
11,12,4
11,6,4
11,3,4
12,10,4
12,11,4
12,13,4
12,15,4
12,16,4
12,17,4
13,23,4
13,15,4
13,8,4
13,2,4
13,1,4
13,0,4
14,10,4
14,21,4
14,23,4
15,23,4
15,21,4
15,14,4
