Row,Column,Droplet
0,1,4
0,3,4
0,14,4
0,22,4
1,10,4
1,8,4
1,4,4
1,0,4
2,3,4
2,5,4
2,7,4
2,8,4
2,11,4
2,15,4
2,16,4
3,21,4
3,7,4
3,6,4
4,0,4
4,7,4
4,9,4
4,11,4
4,15,4
4,16,4
5,21,4
5,19,4
5,6,4
6,5,4
6,16,4
6,19,4
6,20,4
7,23,4
7,18,4
7,16,4
7,4,4
7,0,4
8,0,4
8,1,4
8,2,4
8,3,4
8,9,4
8,11,4
8,12,4
8,18,4
8,21,4
9,19,4
9,15,4
9,10,4
9,9,4
9,7,4
9,6,4
9,5,4
9,4,4
9,0,4
10,2,4
10,4,4
10,12,4
10,15,4
10,16,4
10,23,4
11,19,4
11,11,4
11,6,4
11,5,4
12,1,4
12,5,4
12,15,4
12,16,4
12,17,4
12,21,4
13,20,4
13,19,4
13,18,4
13,14,4
13,8,4
13,3,4
14,0,4
14,1,4
14,2,4
14,4,4
14,9,4
14,11,4
14,14,4
14,15,4
14,19,4
14,21,4
15,23,4
15,20,4
15,19,4
15,16,4
15,9,4
15,6,4
15,5,4
15,4,4
15,0,4
