Row,Column,Droplet
0,11,2
0,18,2
0,19,2
0,22,2
1,23,2
1,21,2
1,15,2
1,13,2
2,1,2
2,4,2
2,11,2
2,18,2
2,22,2
2,23,2
3,22,2
3,6,2
3,1,2
4,8,2
4,15,2
5,17,2
5,10,2
5,7,2
5,4,2
6,5,2
6,7,2
6,16,2
6,19,2
6,21,2
7,23,2
7,13,2
7,5,2
8,3,2
8,4,2
8,11,2
8,14,2
8,15,2
8,17,2
8,21,2
9,21,2
9,18,2
9,8,2
9,2,2
9,1,2
9,0,2
10,1,2
10,3,2
10,5,2
10,10,2
10,11,2
10,16,2
10,21,2
11,21,2
11,20,2
11,19,2
11,17,2
11,14,2
11,4,2
12,2,2
12,11,2
12,13,2
12,19,2
12,20,2
12,22,2
13,23,2
13,21,2
13,14,2
13,12,2
13,7,2
14,2,2
14,3,2
14,18,2
14,20,2
15,22,2
15,18,2
15,3,2
15,1,2
