Row,Column,Droplet
0,5,4
0,9,4
0,17,4
1,18,4
1,13,4
1,12,4
1,10,4
1,9,4
1,5,4
2,1,4
2,5,4
2,9,4
2,10,4
3,15,4
3,14,4
3,3,4
4,5,4
4,6,4
5,17,4
5,16,4
5,3,4
6,0,4
6,1,4
6,6,4
6,8,4
6,9,4
6,12,4
6,13,4
6,15,4
6,16,4
7,16,4
7,13,4
7,12,4
8,0,4
8,6,4
8,8,4
8,12,4
8,16,4
9,16,4
9,13,4
9,9,4
9,5,4
9,3,4
9,2,4
10,0,4
10,3,4
10,5,4
10,6,4
10,8,4
10,17,4
11,17,4
11,13,4
11,10,4
11,7,4
11,6,4
11,5,4
11,3,4
12,1,4
12,8,4
12,9,4
12,12,4
12,17,4
13,16,4
13,15,4
13,10,4
13,1,4
13,0,4
14,2,4
14,5,4
14,12,4
14,14,4
15,13,4
15,1,4
