Row,Column,Droplet
0,0,1
0,2,1
0,3,1
0,4,1
0,5,4
0,8,4
0,9,1
0,14,4
0,15,4
0,16,4
0,18,1
1,18,4
1,17,4
1,16,1
1,13,1
1,11,1
1,9,1
1,8,4
1,1,1
2,8,4
2,11,4
2,12,1
2,15,1
2,16,4
3,18,4
3,14,4
3,8,1
3,5,1
3,0,1
4,1,4
4,5,4
4,6,1
4,7,4
4,10,1
4,16,4
4,17,1
5,17,1
5,12,4
5,9,1
5,8,1
5,6,1
5,3,1
5,1,1
6,0,4
6,2,1
6,5,1
6,7,1
6,8,1
6,13,4
6,15,4
6,17,1
7,14,1
7,13,4
7,11,1
7,7,4
7,6,1
7,4,4
7,3,1
7,0,1
8,0,1
8,2,4
8,3,4
8,10,1
8,11,1
8,12,1
8,13,1
8,15,4
8,16,4
9,17,1
9,14,4
9,13,1
9,12,1
9,10,1
9,8,1
9,7,1
9,5,1
9,4,4
9,3,4
9,2,1
10,0,4
10,3,1
10,4,1
10,5,1
10,7,4
10,8,1
10,11,4
10,12,1
10,14,1
10,15,4
10,17,4
11,17,1
11,16,1
11,14,1
11,13,1
11,7,4
11,3,1
11,0,1
12,1,1
12,2,1
12,6,4
12,9,1
12,10,1
12,11,4
12,16,1
13,16,4
13,14,1
13,12,4
13,10,1
13,8,4
13,6,1
13,4,1
13,3,1
13,1,1
13,0,4
14,1,1
14,2,4
14,3,1
14,7,4
14,9,1
14,10,1
14,15,1
14,16,4
14,17,4
15,15,1
15,7,4
15,6,1
