well_name,unique_id,rxn_id,K,Liposome_name,Mg,SecYE,Spermidine,Liposome_conc,DNA_conc,DNA_name,plate,row,col
L16,0,0,85,DMPC,8,0,0.1,3,5,CD47,3,11,15
I14,4,4,85,DMPC,14,0.625,1,3,5,CD47,3,8,13
M7,5,5,85,DMPC,14,1.25,4,3,5,CD47,3,12,6
C10,6,6,85,DMPC+15%PE,8,0,0.4,3,5,CD47,3,2,9
I13,7,7,85,DMPC+15%PE,8,0.625,1,3,5,CD47,3,8,12
J4,8,8,85,DMPC+15%PE,8,1.25,4,3,5,CD47,3,9,3
L18,9,9,85,DMPC+15%PE,14,0,1,3,5,CD47,3,11,17
G12,11,11,185,DMPC,8,0,0.4,3,5,CD47,3,6,11
N4,12,12,185,DMPC,8,0.625,1,3,5,CD47,3,13,3
C12,13,13,185,DMPC,8,1.25,4,3,5,CD47,3,2,11
O8,15,15,185,DMPC,14,0.625,4,3,5,CD47,3,14,7
J14,16,16,185,DMPC+15%PE,8,0,1,3,5,CD47,3,9,13
K18,17,17,185,DMPC+15%PE,8,0.625,4,3,5,CD47,3,10,17
A6,18,18,185,DMPC+15%PE,14,0,4,3,5,CD47,3,0,5
C1,131,131,85,no_lipo,14,0,0.4,3,5,CD47,3,2,0
L17,132,132,85,no_lipo,14,0.625,1,3,5,CD47,3,11,16
P4,134,134,85,no_lipo,8,0,0.4,3,5,CD47,3,15,3
C9,136,136,85,no_lipo,8,1.25,4,3,5,CD47,3,2,8
F7,137,137,85,no_lipo,14,0,1,3,5,CD47,3,5,6
H3,139,139,185,no_lipo,8,0,0.4,3,5,CD47,3,7,2
F9,140,140,185,no_lipo,8,0.625,1,3,5,CD47,3,5,8
E18,142,142,185,no_lipo,14,0,1,3,5,CD47,3,4,17
A17,143,143,185,no_lipo,14,0.625,4,3,5,CD47,3,0,16
N13,145,145,185,no_lipo,8,0.625,4,3,5,CD47,3,13,12
P7,258,2,85,DMPC,8,1.25,1,3,5,CD47,3,15,6
F17,262,6,85,DMPC+15%PE,8,0,0.4,3,5,CD47,3,5,16
G14,264,8,85,DMPC+15%PE,8,1.25,4,3,5,CD47,3,6,13
L15,268,12,185,DMPC,8,0.625,1,3,5,CD47,3,11,14
F4,272,16,185,DMPC+15%PE,8,0,1,3,5,CD47,3,5,3
L13,384,128,85,no_lipo,8,0,0.1,3,5,CD47,3,11,12
H8,389,133,85,no_lipo,14,1.25,4,3,5,CD47,3,7,7
A19,391,135,85,no_lipo,8,0.625,1,3,5,CD47,3,0,18
I16,392,136,85,no_lipo,8,1.25,4,3,5,CD47,3,8,15
D9,398,142,185,no_lipo,14,0,1,3,5,CD47,3,3,8
E11,400,144,185,no_lipo,8,0,1,3,5,CD47,3,4,10
C17,401,145,185,no_lipo,8,0.625,4,3,5,CD47,3,2,16
O17,402,146,185,no_lipo,14,0,4,3,5,CD47,3,14,16
F14,513,1,85,DMPC,8,0.625,0.4,3,5,CD47,3,5,13
L1,516,4,85,DMPC,14,0.625,1,3,5,CD47,3,11,0
O18,517,5,85,DMPC,14,1.25,4,3,5,CD47,3,14,17
B19,520,8,85,DMPC+15%PE,8,1.25,4,3,5,CD47,3,1,18
H14,522,10,85,DMPC+15%PE,14,0.625,4,3,5,CD47,3,7,13
K13,524,12,185,DMPC,8,0.625,1,3,5,CD47,3,10,12
J15,525,13,185,DMPC,8,1.25,4,3,5,CD47,3,9,14
J3,528,16,185,DMPC+15%PE,8,0,1,3,5,CD47,3,9,2
O3,529,17,185,DMPC+15%PE,8,0.625,4,3,5,CD47,3,14,2
K1,530,18,185,DMPC+15%PE,14,0,4,3,5,CD47,3,10,0
K5,642,130,85,no_lipo,8,1.25,1,3,5,CD47,3,10,4
D18,643,131,85,no_lipo,14,0,0.4,3,5,CD47,3,3,17
J18,644,132,85,no_lipo,14,0.625,1,3,5,CD47,3,9,17
F13,645,133,85,no_lipo,14,1.25,4,3,5,CD47,3,5,12
A5,647,135,85,no_lipo,8,0.625,1,3,5,CD47,3,0,4
G8,649,137,85,no_lipo,14,0,1,3,5,CD47,3,6,7
N10,651,139,185,no_lipo,8,0,0.4,3,5,CD47,3,13,9
H7,652,140,185,no_lipo,8,0.625,1,3,5,CD47,3,7,6
H5,655,143,185,no_lipo,14,0.625,4,3,5,CD47,3,7,4
B17,656,144,185,no_lipo,8,0,1,3,5,CD47,3,1,16
B18,658,146,185,no_lipo,14,0,4,3,5,CD47,3,1,17
G5,769,1,85,DMPC,8,0.625,0.4,3,5,CD47,3,6,4
G1,776,8,85,DMPC+15%PE,8,1.25,4,3,5,CD47,3,6,0
L14,777,9,85,DMPC+15%PE,14,0,1,3,5,CD47,3,11,13
G11,779,11,185,DMPC,8,0,0.4,3,5,CD47,3,6,10
K15,782,14,185,DMPC,14,0,1,3,5,CD47,3,10,14
I4,783,15,185,DMPC,14,0.625,4,3,5,CD47,3,8,3
M2,784,16,185,DMPC+15%PE,8,0,1,3,5,CD47,3,12,1
N17,786,18,185,DMPC+15%PE,14,0,4,3,5,CD47,3,13,16
P15,897,129,85,no_lipo,8,0.625,0.4,3,5,CD47,3,15,14
D6,898,130,85,no_lipo,8,1.25,1,3,5,CD47,3,3,5
C15,899,131,85,no_lipo,14,0,0.4,3,5,CD47,3,2,14
A4,900,132,85,no_lipo,14,0.625,1,3,5,CD47,3,0,3
A16,901,133,85,no_lipo,14,1.25,4,3,5,CD47,3,0,15
H15,903,135,85,no_lipo,8,0.625,1,3,5,CD47,3,7,14
G6,908,140,185,no_lipo,8,0.625,1,3,5,CD47,3,6,5
G3,910,142,185,no_lipo,14,0,1,3,5,CD47,3,6,2
H4,912,144,185,no_lipo,8,0,1,3,5,CD47,3,7,3
J5,914,146,185,no_lipo,14,0,4,3,5,CD47,3,9,4
P6,43,43,85,DMPC,14,1.25,0.1,3,5,Glut,3,15,5
G7,45,45,85,DMPC+15%PE,14,0.625,0.1,3,5,Glut,3,6,6
D16,46,46,85,DMPC+15%PE,14,1.25,0.4,3,5,Glut,3,3,15
C18,47,47,185,DMPC,8,1.25,0.1,3,5,Glut,3,2,17
B16,49,49,185,DMPC,14,1.25,0.4,3,5,Glut,3,1,15
M9,52,52,185,DMPC+15%PE,14,0,0.1,3,5,Glut,3,12,8
N2,54,54,185,DMPC+15%PE,14,1.25,1,3,5,Glut,3,13,1
D19,170,170,85,no_lipo,8,0,4,3,5,Glut,3,3,18
L10,171,171,85,no_lipo,14,1.25,0.1,3,5,Glut,3,11,9
E13,174,174,85,no_lipo,14,1.25,0.4,3,5,Glut,3,4,12
N6,180,180,185,no_lipo,14,0,0.1,3,5,Glut,3,13,5
K10,181,181,185,no_lipo,14,0.625,0.4,3,5,Glut,3,10,9
F10,182,182,185,no_lipo,14,1.25,1,3,5,Glut,3,5,9
A11,299,43,85,DMPC,14,1.25,0.1,3,5,Glut,3,0,10
N18,303,47,185,DMPC,8,1.25,0.1,3,5,Glut,3,13,17
A13,304,48,185,DMPC,14,0.625,0.1,3,5,Glut,3,0,12
M4,305,49,185,DMPC,14,1.25,0.4,3,5,Glut,3,12,3
H13,306,50,185,DMPC+15%PE,8,0.625,0.1,3,5,Glut,3,7,12
N16,307,51,185,DMPC+15%PE,8,1.25,0.4,3,5,Glut,3,13,15
D4,309,53,185,DMPC+15%PE,14,0.625,0.4,3,5,Glut,3,3,3
A8,427,171,85,no_lipo,14,1.25,0.1,3,5,Glut,3,0,7
P5,430,174,85,no_lipo,14,1.25,0.4,3,5,Glut,3,15,4
H16,431,175,185,no_lipo,8,1.25,0.1,3,5,Glut,3,7,15
H9,432,176,185,no_lipo,14,0.625,0.1,3,5,Glut,3,7,8
K14,435,179,185,no_lipo,8,1.25,0.4,3,5,Glut,3,10,13
O1,437,181,185,no_lipo,14,0.625,0.4,3,5,Glut,3,14,0
