Row,Column,Droplet
0,1,2
0,9,1
0,15,2
0,17,1
0,18,2
0,19,1
0,20,2
0,21,1
1,16,1
1,7,2
1,3,2
2,0,1
2,5,1
2,6,1
2,8,2
2,9,2
2,18,2
2,23,2
3,21,2
3,19,1
3,15,1
3,13,1
3,12,1
3,11,1
3,5,2
4,1,1
4,3,2
4,10,2
4,11,2
4,12,2
4,13,1
4,14,2
4,17,2
4,20,2
4,21,2
4,22,1
4,23,2
5,23,2
5,21,1
5,19,2
5,18,2
5,17,2
5,14,1
5,10,1
5,7,1
5,6,2
5,3,2
5,1,1
6,3,1
6,4,2
6,6,2
6,8,1
6,9,1
6,11,2
6,13,1
6,15,2
6,16,2
7,23,1
7,21,1
7,19,1
7,15,2
7,12,2
7,11,1
7,9,1
7,8,1
7,6,2
7,5,2
7,3,1
7,2,2
8,0,1
8,5,2
8,6,1
8,8,2
8,11,2
8,12,1
8,18,1
8,23,1
9,23,1
9,20,2
9,19,2
9,17,2
9,16,1
9,15,1
9,14,1
9,13,1
9,9,1
9,8,2
9,6,1
9,2,2
9,1,2
10,1,2
10,4,1
10,6,2
10,11,1
10,14,1
10,19,1
10,23,2
11,23,1
11,22,2
11,19,1
11,15,2
11,9,1
11,8,1
11,0,2
12,0,1
12,1,1
12,2,1
12,3,2
12,7,2
12,11,1
12,23,1
13,19,2
13,17,1
13,10,1
13,4,2
13,3,2
14,0,2
14,10,2
14,11,1
14,14,1
14,17,2
14,20,2
15,23,1
15,21,2
15,16,2
15,9,1
15,8,2
15,1,1
