Row,Column,Droplet
0,2,1
0,3,2
0,4,1
0,5,2
0,6,2
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,23,2
1,23,1
1,22,2
1,21,2
1,20,1
1,19,2
1,18,2
1,17,1
1,15,1
1,14,2
1,10,2
1,9,1
1,5,2
1,4,1
1,1,2
1,0,2
2,1,1
2,2,2
2,7,1
2,11,2
2,15,1
2,19,1
2,21,1
3,23,1
3,20,2
3,17,1
3,14,2
3,9,1
3,8,2
3,4,1
3,2,1
3,1,1
4,4,1
4,5,1
4,6,2
4,8,2
4,9,1
4,15,2
4,18,2
5,22,2
5,20,2
5,16,2
5,15,2
5,11,2
5,9,1
5,8,1
5,2,2
6,0,1
6,2,1
6,7,2
6,17,1
6,20,1
7,22,1
7,20,2
7,16,1
7,14,2
7,13,2
7,10,2
7,7,1
7,4,2
7,1,2
8,2,2
8,4,1
8,9,1
8,10,1
8,15,1
8,16,2
8,17,1
8,20,1
8,22,2
9,21,1
9,18,2
9,11,2
9,5,2
10,0,1
10,5,1
10,8,2
10,20,2
11,21,2
11,17,1
11,11,2
11,10,1
11,6,1
11,5,2
11,4,2
11,2,1
11,1,2
12,5,1
12,8,2
12,9,2
12,10,2
12,14,1
12,15,2
12,18,2
12,20,2
13,23,2
13,22,1
13,20,2
13,18,1
13,16,2
13,15,1
13,8,2
13,7,2
13,6,1
13,5,2
14,6,2
14,8,1
14,15,1
14,22,1
15,22,1
15,20,1
15,18,2
15,17,2
15,13,1
15,11,2
15,6,1
15,4,1
15,0,1
