Row,Column,Droplet
0,2,1
0,5,1
0,8,1
0,11,2
0,14,2
0,18,2
0,19,2
0,23,2
1,23,2
1,21,2
1,18,1
1,13,1
1,10,2
1,9,1
1,8,2
1,2,2
1,1,2
2,1,2
2,2,1
2,4,1
2,6,1
2,10,1
2,11,1
2,13,1
2,14,1
2,16,1
2,18,2
2,19,2
2,21,2
2,22,2
3,21,2
3,19,1
3,15,1
3,14,2
3,12,1
3,9,1
3,6,2
3,5,2
3,3,2
3,1,1
4,0,1
4,2,2
4,4,2
4,10,1
4,14,1
4,15,2
4,22,2
5,17,2
5,16,2
5,14,1
5,13,2
5,8,2
5,7,1
5,3,1
5,0,2
6,1,2
6,2,1
6,14,1
6,16,2
6,21,2
7,19,1
7,17,1
7,16,1
7,15,2
7,14,2
7,9,1
7,6,2
7,3,2
7,2,2
7,1,1
8,0,2
8,1,1
8,2,1
8,3,1
8,4,2
8,5,1
8,7,1
8,8,1
8,16,2
8,18,1
8,22,1
8,23,2
9,17,2
9,16,2
9,15,1
9,11,1
9,10,1
10,0,2
10,1,2
10,12,2
10,15,2
10,17,1
10,18,2
10,20,2
11,22,1
11,19,1
11,17,2
11,16,1
11,10,2
12,10,2
12,17,2
12,19,2
12,22,2
13,23,1
13,20,1
13,19,1
13,11,2
13,9,1
13,4,2
13,3,1
13,2,1
13,0,1
14,1,1
14,3,1
14,5,2
14,8,1
14,10,1
14,15,2
14,18,1
14,19,2
15,23,1
15,12,2
15,11,1
15,8,1
15,3,2
15,2,2
15,1,1
15,0,1
