Row,Column,Droplet
0,0,2
0,2,2
0,6,2
0,10,2
0,11,2
0,13,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,2
0,20,2
0,22,2
1,21,2
1,20,2
1,18,2
1,17,2
1,16,2
1,9,2
1,7,2
1,6,2
1,1,2
1,0,2
2,0,2
2,1,2
2,2,2
2,5,2
2,8,2
2,9,2
2,10,2
2,12,2
2,13,2
2,15,2
2,16,2
2,17,2
2,20,2
2,21,2
2,22,2
2,23,2
3,22,2
3,19,2
3,16,2
3,15,2
3,13,2
3,12,2
3,11,2
3,10,2
3,8,2
3,7,2
3,5,2
3,4,2
3,3,2
3,0,2
4,1,2
4,4,2
4,9,2
4,12,2
4,13,2
4,14,2
4,15,2
4,16,2
4,18,2
4,21,2
4,23,2
5,23,2
5,22,2
5,21,2
5,19,2
5,18,2
5,17,2
5,16,2
5,15,2
5,14,2
5,12,2
5,6,2
5,5,2
5,3,2
5,1,2
5,0,2
6,0,2
6,5,2
6,6,2
6,7,2
6,8,2
6,12,2
6,14,2
6,15,2
6,20,2
6,23,2
7,23,2
7,22,2
7,21,2
7,20,2
7,18,2
7,14,2
7,11,2
7,9,2
7,7,2
7,5,2
7,4,2
7,3,2
7,2,2
7,1,2
8,0,2
8,1,2
8,5,2
8,9,2
8,10,2
8,12,2
8,14,2
8,16,2
8,17,2
8,19,2
8,20,2
8,21,2
9,22,2
9,17,2
9,16,2
9,13,2
9,11,2
9,9,2
9,7,2
9,6,2
9,3,2
10,1,2
10,7,2
10,10,2
10,13,2
10,15,2
10,16,2
10,17,2
10,19,2
10,21,2
11,23,2
11,22,2
11,17,2
11,14,2
11,13,2
11,12,2
11,4,2
11,3,2
11,2,2
12,0,2
12,1,2
12,6,2
12,7,2
12,11,2
12,12,2
12,13,2
12,16,2
12,17,2
12,18,2
12,20,2
12,23,2
13,21,2
13,20,2
13,19,2
13,17,2
13,15,2
13,14,2
13,13,2
13,9,2
13,7,2
13,6,2
13,5,2
13,4,2
13,3,2
13,1,2
13,0,2
14,3,2
14,4,2
14,7,2
14,11,2
14,14,2
14,18,2
14,19,2
14,20,2
14,21,2
14,22,2
14,23,2
15,22,2
15,21,2
15,20,2
15,18,2
15,16,2
15,15,2
15,14,2
15,13,2
15,8,2
15,7,2
15,6,2
15,4,2
