Row,Column,Droplet
0,5,1
0,9,1
0,10,1
0,12,1
0,17,1
1,20,1
1,12,2
1,11,2
1,9,1
1,5,1
1,4,2
1,3,2
2,3,1
2,4,2
2,5,1
2,7,1
2,8,2
2,9,1
2,10,2
2,14,2
2,16,2
2,17,2
2,21,2
2,22,1
2,23,1
3,22,2
3,20,2
3,18,1
3,15,2
3,14,1
3,12,1
3,8,2
4,0,1
4,6,1
4,7,2
4,9,1
4,11,2
4,14,2
4,16,1
4,18,2
4,23,2
5,21,1
5,18,1
5,17,2
5,14,2
5,12,2
5,10,1
5,6,2
5,4,2
5,2,1
6,1,1
6,5,2
6,9,1
6,10,2
6,11,2
6,12,1
6,16,1
6,17,2
6,18,2
7,23,2
7,14,1
7,7,2
7,1,1
8,0,1
8,1,2
8,7,1
8,15,2
8,18,2
8,23,2
9,18,2
9,17,1
9,14,2
9,11,2
9,10,2
9,7,2
9,5,2
9,2,2
10,2,1
10,4,1
10,7,2
10,8,1
10,19,1
10,22,1
10,23,1
11,22,1
11,18,1
11,17,1
11,15,1
11,12,2
11,10,1
11,7,1
11,6,1
11,5,1
11,1,2
12,3,2
12,7,1
12,14,2
12,16,1
12,17,1
12,18,2
12,21,1
13,23,2
13,17,2
13,12,2
13,6,1
13,5,1
14,0,2
14,3,2
14,5,2
14,6,1
14,9,1
14,12,2
14,14,1
14,18,1
14,19,2
14,20,2
14,22,2
14,23,2
15,23,1
15,20,2
15,17,2
15,14,2
15,13,2
15,8,1
15,7,1
15,3,1
15,1,1
15,0,1
