Row,Column,Droplet
0,0,2
0,1,2
0,6,2
0,11,1
0,12,1
0,14,2
0,15,2
0,20,1
1,20,2
1,18,2
1,14,2
1,13,1
1,12,2
1,10,1
1,9,1
1,2,1
1,1,1
1,0,1
2,1,1
2,3,2
2,6,1
2,17,2
2,18,2
2,23,2
3,16,1
3,15,1
3,13,1
3,12,1
3,10,2
3,9,1
3,7,2
3,3,2
3,1,1
3,0,2
4,2,1
4,3,1
4,11,2
4,13,1
4,14,2
4,21,1
5,18,2
5,16,2
5,14,2
5,11,2
5,4,1
6,0,2
6,8,2
6,10,1
6,13,2
6,14,1
6,15,2
7,23,2
7,19,2
7,13,1
7,11,2
7,10,2
7,9,2
7,6,2
7,5,2
7,2,1
8,0,1
8,2,1
8,8,1
8,10,1
8,11,1
8,17,2
8,19,1
8,21,1
9,23,1
9,22,1
9,12,2
9,10,1
9,8,2
9,7,1
9,6,2
9,3,2
9,2,1
9,1,1
9,0,2
10,0,1
10,1,1
10,2,1
10,4,2
10,9,1
10,12,1
10,19,2
10,20,1
10,21,2
11,21,2
11,18,1
11,13,2
11,7,1
11,5,1
12,0,1
12,10,1
12,11,1
12,13,1
12,14,2
12,16,2
12,18,1
13,23,1
13,20,2
13,19,2
13,18,2
13,13,2
13,11,1
13,10,2
13,9,1
13,6,2
13,2,2
13,1,1
14,1,2
14,3,1
14,5,1
14,7,2
14,8,2
14,13,2
14,14,2
14,15,2
14,20,1
15,23,2
15,20,1
15,19,2
15,16,2
15,14,1
15,13,1
15,7,1
15,2,2
