Row,Column,Droplet
0,5,2
0,6,1
0,7,2
0,9,2
0,15,2
0,16,2
0,19,2
1,23,2
1,20,2
1,13,2
1,12,2
1,10,2
1,9,2
1,2,2
1,0,2
2,0,1
2,2,2
2,3,2
2,4,2
2,12,2
2,16,2
2,18,2
2,23,2
3,19,2
3,18,2
3,16,1
3,15,2
3,14,2
3,11,2
3,7,2
3,5,2
3,3,2
3,2,1
4,1,2
4,5,2
4,9,2
4,14,1
4,16,2
4,18,2
4,19,1
4,22,2
5,21,2
5,20,2
5,19,2
5,13,2
5,6,2
5,5,2
5,2,2
6,0,2
6,1,2
6,3,2
6,6,2
6,9,2
6,11,2
6,12,2
6,14,2
6,15,2
6,17,2
6,23,2
7,19,2
7,18,2
7,16,2
7,14,2
7,13,1
7,9,2
7,8,2
7,7,2
7,3,2
8,5,2
8,10,2
8,12,2
8,17,1
8,19,2
9,23,1
9,21,2
9,19,2
9,18,2
9,16,2
9,11,2
9,9,2
9,7,2
9,4,2
9,1,1
10,1,2
10,2,2
10,4,2
10,6,2
10,7,1
10,12,2
10,16,2
10,21,2
10,22,2
10,23,2
11,22,2
11,21,2
11,20,2
11,18,2
11,16,1
11,9,1
11,7,2
12,6,2
12,9,2
12,10,2
12,11,1
12,12,2
12,14,2
12,15,2
12,16,2
13,23,1
13,22,2
13,19,2
13,18,2
13,16,2
13,14,2
13,13,2
13,5,2
13,2,2
13,1,2
14,11,2
14,12,2
14,13,2
14,18,2
14,23,2
15,20,2
15,17,2
15,9,2
15,8,2
15,7,1
