Row,Column,Droplet
0,1,2
0,2,2
0,3,2
0,4,1
0,8,2
0,10,1
0,11,2
0,13,2
0,14,2
0,18,1
0,20,2
0,21,2
0,22,1
1,18,1
1,16,2
1,15,2
1,14,2
1,11,1
1,5,2
1,4,1
1,1,1
2,1,2
2,6,2
2,7,2
2,8,2
2,10,2
2,11,2
2,13,1
2,15,1
2,17,2
2,19,1
2,20,2
2,22,1
3,23,2
3,22,2
3,13,2
3,12,1
3,9,2
3,1,1
4,0,2
4,2,2
4,6,2
4,13,1
4,21,2
5,23,1
5,22,2
5,17,1
5,16,1
5,11,2
5,10,2
5,8,2
5,7,1
5,4,1
5,3,2
6,2,1
6,4,2
6,5,2
6,7,2
6,8,1
6,19,2
7,23,1
7,22,2
7,17,2
7,15,2
7,11,1
7,10,1
7,2,2
8,0,1
8,1,1
8,3,2
8,4,2
8,6,2
8,13,2
8,14,1
8,18,2
8,21,2
9,22,2
9,17,2
9,14,2
9,12,1
9,10,2
9,5,2
9,3,2
9,2,2
9,0,2
10,5,1
10,8,2
10,9,1
10,10,2
10,11,1
10,13,2
10,14,1
10,18,2
10,19,1
10,20,1
11,19,2
11,17,2
11,15,1
11,11,1
11,10,2
11,8,2
11,5,2
11,2,2
12,0,2
12,3,2
12,7,2
12,20,1
12,22,1
12,23,2
13,21,1
13,20,2
13,12,1
13,11,1
13,9,2
13,8,2
13,6,2
13,0,1
14,4,1
14,9,2
14,16,2
14,17,1
14,20,1
15,16,2
15,15,1
15,10,2
15,5,2
15,1,2
15,0,1
